Country,Air Quality Network,Air Quality Network Name,Air Quality Station EoI Code,Air Quality Station Name,Sampling Point Id,Air Pollutant,Air Pollutant Description,Data Aggregation Process Id,Data Aggregation Process,Year,Air Pollution Level,Unit Of Air Pollution Level,Data Coverage,Verification,Air Quality Station Type,Air Quality Station Area,Longitude,Latitude,Altitude,City,City Code,City Population,Source Of Data Flow,Calculation Time,Link to raw data (only E1a/validated data from AQ e-Reporting),Observation Frequency
"Ireland","","","IE0115A","","SPO-IE0115A_06001_100","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2004","6.430","ug/m3","35.25","","Background","suburban","-9.6892","52.2708","","","","","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","","","IE0113A","","SPO-IE0113A_06001_100","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2004","10.159","ug/m3","33.06","","Background","suburban","-7.6958","52.3561","","","","","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","","","IE0107A","","SPO-IE0107A_06001_100","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2004","9.661","ug/m3","91.80","","Traffic","urban","-8.4750","51.9000","10.0","Cork                                                                            ","IE002C1                                           ","118713","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","","","IE0107A","","SPO-IE0107A_06001_100","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2005","10.992","ug/m3","82.47","","Traffic","urban","-8.4750","51.9000","10.0","Cork                                                                            ","IE002C1                                           ","118713","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","","","IE0107A","","SPO-IE0107A_06001_100","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2007","8.322","ug/m3","90.96","","Traffic","urban","-8.4750","51.9000","10.0","Cork                                                                            ","IE002C1                                           ","118713","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","","","IE0107A","","SPO-IE0107A_06001_100","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2008","9.176","ug/m3","90.16","","Traffic","urban","-8.4750","51.9000","10.0","Cork                                                                            ","IE002C1                                           ","118713","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","IE0137A","Clare Ennis Simms Lane","SPO.IE.IE0137ASample2_6001","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2009","8.349","ug/m3","53.70","","Background","suburban","-8.5919","52.5035","65.0","","","","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","","","IE0107A","","SPO-IE0107A_06001_100","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2009","10.620","ug/m3","95.34","","Traffic","urban","-8.4750","51.9000","10.0","Cork                                                                            ","IE002C1                                           ","118713","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","IE0028A","Dublin Rathmines Wynnefield Road","SPO.IE.IE0028ASample2_6001","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2009","11.060","ug/m3","99.45","","Background","urban","-6.2781","53.3539","25.0","Dublin                                                                          ","IE001C1                                           ","516255","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","IE0106A","Dublin Marino Brian Road","SPO.IE.IE0106ASample1_6001","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2009","8.159","ug/m3","98.08","","Background","suburban","-6.2279","53.3682","20.0","Dublin                                                                          ","IE001C1                                           ","516255","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","IE0105A","Dublin Coleraine Street","SPO.IE.IE0105ASample2_6001","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2009","9.961","ug/m3","86.58","","Traffic","urban","-6.2667","53.3472","20.0","Dublin                                                                          ","IE001C1                                           ","516255","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","IE0137A","Clare Ennis Simms Lane","SPO.IE.IE0137ASample2_6001","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2010","11.756","ug/m3","93.97","","Background","suburban","-8.5919","52.5035","65.0","","","","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
