Country,Air Quality Network,Air Quality Network Name,Air Quality Station EoI Code,Air Quality Station Name,Sampling Point Id,Air Pollutant,Air Pollutant Description,Data Aggregation Process Id,Data Aggregation Process,Year,Air Pollution Level,Unit Of Air Pollution Level,Data Coverage,Verification,Air Quality Station Type,Air Quality Station Area,Longitude,Latitude,Altitude,City,City Code,City Population,Source Of Data Flow,Calculation Time,Link to raw data (only E1a/validated data from AQ e-Reporting),Observation Frequency
"Ireland","","","IE0025A","","SPO-IE0025A_00005_100","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","1999","49.209","ug/m3","86.58","","Traffic","urban","-6.2500","53.3300","10.0","Dublin                                                                          ","IE001C1                                           ","516255","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","IE0098A","Dublin Winetavern Street","SPO.IE.IE0098ASample2_5","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","1999","34.766","ug/m3","80.82","","Traffic","urban","-6.2889","53.3417","15.0","Dublin                                                                          ","IE001C1                                           ","516255","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","IE0095A","Dublin Phoenix Park Ordnance Survey Road","SPO.IE.IE0095ASample1_5","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","1999","15.792","ug/m3","83.84","","Background","suburban","-6.3490","53.3644","35.0","Dublin                                                                          ","IE001C1                                           ","516255","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","IE0028A","Dublin Rathmines Wynnefield Road","SPO.IE.IE0028ASample2_5","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","1999","18.223","ug/m3","62.74","","Background","urban","-6.2781","53.3539","25.0","Dublin                                                                          ","IE001C1                                           ","516255","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","","","IE0104A","","SPO-IE0104A_00005_100","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2001","25.550","ug/m3","73.70","","Traffic","suburban","-9.0494","53.2819","40.0","Galway                                                                          ","IE004C1                                           ","73963","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","IE0095A","Dublin Phoenix Park Ordnance Survey Road","SPO.IE.IE0095ASample1_5","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2001","17.707","ug/m3","86.85","","Background","suburban","-6.3490","53.3644","35.0","Dublin                                                                          ","IE001C1                                           ","516255","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","IE0098A","Dublin Winetavern Street","SPO.IE.IE0098ASample2_5","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2001","28.151","ug/m3","89.04","","Traffic","urban","-6.2889","53.3417","15.0","Dublin                                                                          ","IE001C1                                           ","516255","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","","","IE0105A","","SPO-IE0105A_00005_100","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2001","26.554","ug/m3","84.11","","Traffic","urban","-6.2667","53.3472","20.0","Dublin                                                                          ","IE001C1                                           ","516255","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","IE0106A","Dublin Marino Brian Road","SPO-IE0106A_00005_100","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2001","23.057","ug/m3","77.53","","Background","suburban","-6.2279","53.3682","20.0","Dublin                                                                          ","IE001C1                                           ","516255","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","","","IE0107A","","SPO-IE0107A_00005_100","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2001","26.039","ug/m3","95.89","","Traffic","urban","-8.4750","51.9000","10.0","Cork                                                                            ","IE002C1                                           ","118713","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","IE0028A","Dublin Rathmines Wynnefield Road","SPO.IE.IE0028ASample2_5","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2002","19.018","ug/m3","92.88","","Background","urban","-6.2781","53.3539","25.0","Dublin                                                                          ","IE001C1                                           ","516255","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","IE0095A","Dublin Phoenix Park Ordnance Survey Road","SPO.IE.IE0095ASample1_5","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2002","15.181","ug/m3","72.60","","Background","suburban","-6.3490","53.3644","35.0","Dublin                                                                          ","IE001C1                                           ","516255","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","IE0110A","Cork Ballinlough Heatherton Park","SPO.IE.IE0110ASample1_5","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2002","21.307","ug/m3","95.62","","Background","suburban","-8.4571","51.8819","12.0","Cork                                                                            ","IE002C1                                           ","118713","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","","","IE0025A","","SPO-IE0025A_00005_100","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2002","37.197","ug/m3","86.30","","Traffic","urban","-6.2500","53.3300","10.0","Dublin                                                                          ","IE001C1                                           ","516255","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","IE0098A","Dublin Winetavern Street","SPO.IE.IE0098ASample2_5","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2002","22.939","ug/m3","89.32","","Traffic","urban","-6.2889","53.3417","15.0","Dublin                                                                          ","IE001C1                                           ","516255","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","","","IE0105A","","SPO-IE0105A_00005_100","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2002","20.633","ug/m3","82.19","","Traffic","urban","-6.2667","53.3472","20.0","Dublin                                                                          ","IE001C1                                           ","516255","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","","","IE0107A","","SPO-IE0107A_00005_100","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2002","23.529","ug/m3","90.14","","Traffic","urban","-8.4750","51.9000","10.0","Cork                                                                            ","IE002C1                                           ","118713","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","IE0106A","Dublin Marino Brian Road","SPO-IE0106A_00005_100","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2002","23.549","ug/m3","44.38","","Background","suburban","-6.2279","53.3682","20.0","Dublin                                                                          ","IE001C1                                           ","516255","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","","","IE0104A","","SPO-IE0104A_00005_100","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2003","26.693","ug/m3","91.78","","Traffic","suburban","-9.0494","53.2819","40.0","Galway                                                                          ","IE004C1                                           ","73963","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","","","IE0025A","","SPO-IE0025A_00005_100","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2003","40.343","ug/m3","84.66","","Traffic","urban","-6.2500","53.3300","10.0","Dublin                                                                          ","IE001C1                                           ","516255","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","IE0028A","Dublin Rathmines Wynnefield Road","SPO.IE.IE0028ASample2_5","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2003","23.394","ug/m3","89.59","","Background","urban","-6.2781","53.3539","25.0","Dublin                                                                          ","IE001C1                                           ","516255","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","","","IE0105A","","SPO-IE0105A_00005_100","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2003","28.505","ug/m3","87.40","","Traffic","urban","-6.2667","53.3472","20.0","Dublin                                                                          ","IE001C1                                           ","516255","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","IE0098A","Dublin Winetavern Street","SPO.IE.IE0098ASample2_5","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2003","25.651","ug/m3","93.43","","Traffic","urban","-6.2889","53.3417","15.0","Dublin                                                                          ","IE001C1                                           ","516255","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","","","IE0107A","","SPO-IE0107A_00005_100","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2003","25.674","ug/m3","93.15","","Traffic","urban","-8.4750","51.9000","10.0","Cork                                                                            ","IE002C1                                           ","118713","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","IE0095A","Dublin Phoenix Park Ordnance Survey Road","SPO.IE.IE0095ASample1_5","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2003","13.883","ug/m3","81.92","","Background","suburban","-6.3490","53.3644","35.0","Dublin                                                                          ","IE001C1                                           ","516255","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","IE0110A","Cork Ballinlough Heatherton Park","SPO.IE.IE0110ASample1_5","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2003","20.546","ug/m3","88.77","","Background","suburban","-8.4571","51.8819","12.0","Cork                                                                            ","IE002C1                                           ","118713","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","IE0036A","Dublin Ballyfermot Library","SPO.IE.IE0036ASample2_5","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2003","18.794","ug/m3","27.95","","Background","suburban","-6.3523","53.3405","30.0","Dublin                                                                          ","IE001C1                                           ","516255","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","IE0106A","Dublin Marino Brian Road","SPO-IE0106A_00005_100","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2003","23.240","ug/m3","74.25","","Background","suburban","-6.2279","53.3682","20.0","Dublin                                                                          ","IE001C1                                           ","516255","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","","","IE0117A","","SPO-IE0117A_00005_100","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2004","25.630","ug/m3","19.40","","Traffic","suburban","-7.4770","52.9983","30.0","","","","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","","","IE0112A","","SPO-IE0112A_00005_100","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2004","16.693","ug/m3","38.80","","Traffic","suburban","-6.9219","52.8336","","","","","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","","","IE0114A","","SPO-IE0114A_00005_100","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2004","17.330","ug/m3","29.78","","Traffic","suburban","-6.6600","53.2197","","","","","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","","","IE0115A","","SPO-IE0115A_00005_100","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2004","16.522","ug/m3","38.53","","Background","suburban","-9.6892","52.2708","","","","","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","IE0106A","Dublin Marino Brian Road","SPO-IE0106A_00005_100","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2004","14.263","ug/m3","93.99","","Background","suburban","-6.2279","53.3682","20.0","Dublin                                                                          ","IE001C1                                           ","516255","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","IE0110A","Cork Ballinlough Heatherton Park","SPO.IE.IE0110ASample1_5","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2004","18.671","ug/m3","82.24","","Background","suburban","-8.4571","51.8819","12.0","Cork                                                                            ","IE002C1                                           ","118713","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","","","IE0025A","","SPO-IE0025A_00005_100","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2004","31.180","ug/m3","57.92","","Traffic","urban","-6.2500","53.3300","10.0","Dublin                                                                          ","IE001C1                                           ","516255","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","IE0028A","Dublin Rathmines Wynnefield Road","SPO.IE.IE0028ASample2_5","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2004","16.794","ug/m3","90.16","","Background","urban","-6.2781","53.3539","25.0","Dublin                                                                          ","IE001C1                                           ","516255","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","IE0095A","Dublin Phoenix Park Ordnance Survey Road","SPO.IE.IE0095ASample1_5","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2004","12.250","ug/m3","86.34","","Background","suburban","-6.3490","53.3644","35.0","Dublin                                                                          ","IE001C1                                           ","516255","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","","","IE0105A","","SPO-IE0105A_00005_100","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2004","20.262","ug/m3","97.81","","Traffic","urban","-6.2667","53.3472","20.0","Dublin                                                                          ","IE001C1                                           ","516255","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","IE0036A","Dublin Ballyfermot Library","SPO.IE.IE0036ASample2_5","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2004","14.314","ug/m3","94.26","","Background","suburban","-6.3523","53.3405","30.0","Dublin                                                                          ","IE001C1                                           ","516255","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","IE0098A","Dublin Winetavern Street","SPO.IE.IE0098ASample2_5","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2004","20.075","ug/m3","95.63","","Traffic","urban","-6.2889","53.3417","15.0","Dublin                                                                          ","IE001C1                                           ","516255","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","","","IE0107A","","SPO-IE0107A_00005_100","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2004","22.053","ug/m3","91.80","","Traffic","urban","-8.4750","51.9000","10.0","Cork                                                                            ","IE002C1                                           ","118713","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","","","IE0113A","","SPO-IE0113A_00005_100","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2004","20.157","ug/m3","55.74","","Background","suburban","-7.6958","52.3561","","","","","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Ireland","","","IE0120A","","SPO-IE0120A_00005_100","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2005","23.431","ug/m3","68.22","","Background","suburban","-6.4675","52.3411","","","","","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
