Air Quality Station Name,Year,Air Pollutant,value,Longitude,Latitude
NA,2001,PM10,25.55,-9.0494,53.2819
Dublin Phoenix Park Ordnance Survey Road,2001,PM10,17.707,-6.349,53.3644
Dublin Winetavern Street,2001,PM10,28.151,-6.2889,53.3417
NA,2001,PM10,26.554,-6.2667,53.3472
Dublin Marino Brian Road,2001,PM10,23.057,-6.2279,53.3682
NA,2001,PM10,26.039,-8.475,51.9
Dublin Rathmines Wynnefield Road,2002,PM10,19.018,-6.2781,53.3539
Dublin Phoenix Park Ordnance Survey Road,2002,PM10,15.181,-6.349,53.3644
Cork Ballinlough Heatherton Park,2002,PM10,21.307,-8.4571,51.8819
NA,2002,PM10,37.197,-6.25,53.33
Dublin Winetavern Street,2002,PM10,22.939,-6.2889,53.3417
NA,2002,PM10,20.633,-6.2667,53.3472
NA,2002,PM10,23.529,-8.475,51.9
Dublin Marino Brian Road,2002,PM10,23.549,-6.2279,53.3682
NA,2003,PM10,26.693,-9.0494,53.2819
NA,2003,PM10,40.343,-6.25,53.33
Dublin Rathmines Wynnefield Road,2003,PM10,23.394,-6.2781,53.3539
NA,2003,PM10,28.505,-6.2667,53.3472
Dublin Winetavern Street,2003,PM10,25.651,-6.2889,53.3417
NA,2003,PM10,25.674,-8.475,51.9
Dublin Phoenix Park Ordnance Survey Road,2003,PM10,13.883,-6.349,53.3644
Cork Ballinlough Heatherton Park,2003,PM10,20.546,-8.4571,51.8819
Dublin Ballyfermot Library,2003,PM10,18.794,-6.3523,53.3405
Dublin Marino Brian Road,2003,PM10,23.24,-6.2279,53.3682
NA,2004,PM10,25.63,-7.477,52.9983
NA,2004,PM10,16.693,-6.9219,52.8336
NA,2004,PM10,17.33,-6.66,53.2197
NA,2004,PM10,16.522,-9.6892,52.2708
Dublin Marino Brian Road,2004,PM10,14.263,-6.2279,53.3682
Cork Ballinlough Heatherton Park,2004,PM10,18.671,-8.4571,51.8819
NA,2004,PM10,31.18,-6.25,53.33
Dublin Rathmines Wynnefield Road,2004,PM10,16.794,-6.2781,53.3539
Dublin Phoenix Park Ordnance Survey Road,2004,PM10,12.25,-6.349,53.3644
NA,2004,PM10,20.262,-6.2667,53.3472
Dublin Ballyfermot Library,2004,PM10,14.314,-6.3523,53.3405
Dublin Winetavern Street,2004,PM10,20.075,-6.2889,53.3417
NA,2004,PM10,22.053,-8.475,51.9
NA,2004,PM10,20.157,-7.6958,52.3561
NA,2005,PM10,23.431,-6.4675,52.3411
Mayo Castlebar John Moore Road,2005,PM10,15.549,-9.2997,53.8511
NA,2005,PM10,12.757,-7.2592,52.6494
NA,2005,PM10,20.275,-6.2667,53.3472
NA,2005,PM10,19.185,-8.475,51.9
Dublin Rathmines Wynnefield Road,2005,PM10,18.929,-6.2781,53.3539
Dublin Phoenix Park Ordnance Survey Road,2005,PM10,12.124,-6.349,53.3644
Cork Ballinlough Heatherton Park,2005,PM10,17.271,-8.4571,51.8819
Dublin Winetavern Street,2005,PM10,19.27,-6.2889,53.3417
Dublin Ballyfermot Library,2005,PM10,15.063,-6.3523,53.3405
NA,2005,PM10,18.801,-9.0494,53.2819
Dublin Marino Brian Road,2005,PM10,14.315,-6.2279,53.3682
NA,2005,PM10,16.611,-7.477,52.9983
NA,2005,PM10,16.758,-6.3158,53.7
NA,2006,PM10,32.022,-6.4675,52.3411
NA,2006,PM10,19.384,-6.3158,53.7
NA,2006,PM10,22.667,-6.112,53.1997
Monaghan Kilkitt Waterworks,2006,PM10,10.162,-6.8831,54.0661
NA,2006,PM10,15.886,-8.475,51.9
Dublin Rathmines Wynnefield Road,2006,PM10,19.291,-6.2781,53.3539
Galway City Bodkin Roundabout,2006,PM10,13.344,-9.0492,53.2817
Dublin Marino Brian Road,2006,PM10,15.567,-6.2279,53.3682
Cork Ballinlough Heatherton Park,2006,PM10,18.089,-8.4571,51.8819
Dublin Winetavern Street,2006,PM10,19.966,-6.2889,53.3417
Mayo Castlebar John Moore Road,2006,PM10,16.17,-9.2997,53.8511
NA,2006,PM10,23.431,-9.0494,53.2819
Dublin Ballyfermot Library,2006,PM10,17.181,-6.3523,53.3405
NA,2006,PM10,21.178,-6.2667,53.3472
Dublin Phoenix Park Ordnance Survey Road,2006,PM10,13.52,-6.349,53.3644
NA,2006,PM10,16.528,-7.8297,53.2675
NA,2006,PM10,25.124,-8.9989,52.8431
NA,2007,PM10,20.496,-7.8297,53.2675
NA,2007,PM10,17.239,-8.3944,51.8422
NA,2007,PM10,18.366,-6.3194,53.7314
NA,2007,PM10,36.061,-8.9989,52.8431
Mayo Castlebar John Moore Road,2007,PM10,14.331,-9.2997,53.8511
Monaghan Kilkitt Waterworks,2007,PM10,10.095,-6.8831,54.0661
Dublin Winetavern Street,2007,PM10,18.301,-6.2889,53.3417
Dublin Marino Brian Road,2007,PM10,13.411,-6.2279,53.3682
Cork Ballinlough Heatherton Park,2007,PM10,16.669,-8.4571,51.8819
NA,2007,PM10,24.55,-7.1061,52.2597
Dublin Phoenix Park Ordnance Survey Road,2007,PM10,11.715,-6.349,53.3644
NA,2007,PM10,18.426,-6.2667,53.3472
NA,2007,PM10,14.527,-8.475,51.9
Dublin Ballyfermot Library,2007,PM10,14.824,-6.3523,53.3405
Dublin Rathmines Wynnefield Road,2007,PM10,18.618,-6.2781,53.3539
NA,2007,PM10,22.125,-6.6875,53.6586
Galway City Bodkin Roundabout,2007,PM10,15.886,-9.0492,53.2817
Dublin Blanchardstown River Road,2008,PM10,16.643,-6.3699,53.3856
NA,2008,PM10,17.02,-6.2661,53.2519
Dublin Dun Laoghaire The Glen,2008,PM10,15.076,-6.1319,53.2858
Dublin Tallaght Old Bawn Road,2008,PM10,13.187,-6.3588,53.2805
NA,2008,PM10,17.103,-6.3194,53.7314
NA,2008,PM10,19.789,-7.738,54.9589
Mayo Castlebar John Moore Road,2008,PM10,15.59,-9.2997,53.8511
Dublin Winetavern Street,2008,PM10,17.504,-6.2889,53.3417
Dublin Ballyfermot Library,2008,PM10,11.637,-6.3523,53.3405
