Year,Location,Latitude,Longitude,Covariate,Value
2001,NA,53.2819,-9.0494,PM10,25.55
2001,Dublin Phoenix Park Ordnance Survey Road,53.3644,-6.349,PM10,17.707
2001,Dublin Winetavern Street,53.3417,-6.2889,PM10,28.151
2001,NA,53.3472,-6.2667,PM10,26.554
2001,Dublin Marino Brian Road,53.3682,-6.2279,PM10,23.057
2001,NA,51.9,-8.475,PM10,26.039
2002,Dublin Rathmines Wynnefield Road,53.3539,-6.2781,PM10,19.018
2002,Dublin Phoenix Park Ordnance Survey Road,53.3644,-6.349,PM10,15.181
2002,Cork Ballinlough Heatherton Park,51.8819,-8.4571,PM10,21.307
2002,NA,53.33,-6.25,PM10,37.197
2002,Dublin Winetavern Street,53.3417,-6.2889,PM10,22.939
2002,NA,53.3472,-6.2667,PM10,20.633
2002,NA,51.9,-8.475,PM10,23.529
2002,Dublin Marino Brian Road,53.3682,-6.2279,PM10,23.549
2003,NA,53.2819,-9.0494,PM10,26.693
2003,NA,53.33,-6.25,PM10,40.343
2003,Dublin Rathmines Wynnefield Road,53.3539,-6.2781,PM10,23.394
2003,NA,53.3472,-6.2667,PM10,28.505
2003,Dublin Winetavern Street,53.3417,-6.2889,PM10,25.651
2003,NA,51.9,-8.475,PM10,25.674
2003,Dublin Phoenix Park Ordnance Survey Road,53.3644,-6.349,PM10,13.883
2003,Cork Ballinlough Heatherton Park,51.8819,-8.4571,PM10,20.546
2003,Dublin Ballyfermot Library,53.3405,-6.3523,PM10,18.794
2003,Dublin Marino Brian Road,53.3682,-6.2279,PM10,23.24
2004,NA,52.9983,-7.477,PM10,25.63
2004,NA,52.8336,-6.9219,PM10,16.693
2004,NA,53.2197,-6.66,PM10,17.33
2004,NA,52.2708,-9.6892,PM10,16.522
2004,Dublin Marino Brian Road,53.3682,-6.2279,PM10,14.263
2004,Cork Ballinlough Heatherton Park,51.8819,-8.4571,PM10,18.671
2004,NA,53.33,-6.25,PM10,31.18
2004,Dublin Rathmines Wynnefield Road,53.3539,-6.2781,PM10,16.794
2004,Dublin Phoenix Park Ordnance Survey Road,53.3644,-6.349,PM10,12.25
2004,NA,53.3472,-6.2667,PM10,20.262
2004,Dublin Ballyfermot Library,53.3405,-6.3523,PM10,14.314
2004,Dublin Winetavern Street,53.3417,-6.2889,PM10,20.075
2004,NA,51.9,-8.475,PM10,22.053
2004,NA,52.3561,-7.6958,PM10,20.157
2005,NA,52.3411,-6.4675,PM10,23.431
2005,Mayo Castlebar John Moore Road,53.8511,-9.2997,PM10,15.549
2005,NA,52.6494,-7.2592,PM10,12.757
2005,NA,53.3472,-6.2667,PM10,20.275
2005,NA,51.9,-8.475,PM10,19.185
2005,Dublin Rathmines Wynnefield Road,53.3539,-6.2781,PM10,18.929
2005,Dublin Phoenix Park Ordnance Survey Road,53.3644,-6.349,PM10,12.124
2005,Cork Ballinlough Heatherton Park,51.8819,-8.4571,PM10,17.271
2005,Dublin Winetavern Street,53.3417,-6.2889,PM10,19.27
2005,Dublin Ballyfermot Library,53.3405,-6.3523,PM10,15.063
2005,NA,53.2819,-9.0494,PM10,18.801
2005,Dublin Marino Brian Road,53.3682,-6.2279,PM10,14.315
2005,NA,52.9983,-7.477,PM10,16.611
2005,NA,53.7,-6.3158,PM10,16.758
2006,NA,52.3411,-6.4675,PM10,32.022
2006,NA,53.7,-6.3158,PM10,19.384
2006,NA,53.1997,-6.112,PM10,22.667
2006,Monaghan Kilkitt Waterworks,54.0661,-6.8831,PM10,10.162
2006,NA,51.9,-8.475,PM10,15.886
2006,Dublin Rathmines Wynnefield Road,53.3539,-6.2781,PM10,19.291
2006,Galway City Bodkin Roundabout,53.2817,-9.0492,PM10,13.344
2006,Dublin Marino Brian Road,53.3682,-6.2279,PM10,15.567
2006,Cork Ballinlough Heatherton Park,51.8819,-8.4571,PM10,18.089
2006,Dublin Winetavern Street,53.3417,-6.2889,PM10,19.966
2006,Mayo Castlebar John Moore Road,53.8511,-9.2997,PM10,16.17
2006,NA,53.2819,-9.0494,PM10,23.431
2006,Dublin Ballyfermot Library,53.3405,-6.3523,PM10,17.181
2006,NA,53.3472,-6.2667,PM10,21.178
2006,Dublin Phoenix Park Ordnance Survey Road,53.3644,-6.349,PM10,13.52
2006,NA,53.2675,-7.8297,PM10,16.528
2006,NA,52.8431,-8.9989,PM10,25.124
2007,NA,53.2675,-7.8297,PM10,20.496
2007,NA,51.8422,-8.3944,PM10,17.239
2007,NA,53.7314,-6.3194,PM10,18.366
2007,NA,52.8431,-8.9989,PM10,36.061
