Station Name: KILLESHANDRA (Drumroosk)
Station Height: 64 M 
Latitude:53.993  ,Longitude: -7.520


year:  -  Year
month: -  Month
rain:  -  Precipitation Amount (mm)
gdf:   -  Greatest daily fall (mm)
rd:    -  Number of rain days (0.2mm or more)
wd:    -  Number of wet days (1.0 mm or more)	
ind:   -  Indicator

year,month,ind,rain,gdf,rd,wd
2019,12,0,104.6,14.5,25,17
2020,1,0,76.9,11.4,24,18
2020,2,0,230.4,31.2,26,26
2020,3,0,95.2,19.6,19,16
2020,4,0,36.7,23.8,9,3
2020,5,0,28.9,9.6,9,6
2020,6,0,135.7,21.7,22,14
2020,7,0,137.8,14.3,22,19
2020,8,0,159.9,35.9,19,15
2020,9,0,76.9,19.0,19,14
2020,10,0,124.9,26.1,25,21
2020,11,0,111.2,17.1,23,17
2020,12,0,129.8,25.3,24,20
2021,1,0,130.2,28.5,24,15
2021,2,0,91.8,15.4,17,16
2021,3,0,97.1,16.8,18,12
2021,4,0,17.1,5.3,11,6
2021,5,0,102.7,14.5,22,18
2021,6,0,31.1,8.7,11,9
2021,7,0,51.7,20.4,10,9
2021,8,0,158.7,40.6,14,13
2021,9,0,89.0,29.6,19,13
2021,10,0,149.0,22.7,23,21
2021,11,0,54.4,9.8,23,10
2021,12,0,131.3,25.7,21,19
2022,1,0,57.1,12.6,17,14
2022,2,0,152.6,30.4,26,22
2022,3,0,36.1,7.6,13,10
2022,4,0,62.2,11.8,18,12
2022,5,0,64.0,7.2,20,18
2022,6,0,79.4,15.8,18,14
2022,7,0,35.0,11.6,9,7
2022,8,0,67.5,19.7,14,10
2022,9,0,124.3,26.7,15,14
2022,10,0,210.4,33.3,28,22
2022,11,0,138.4,27.3,24,20
2022,12,0,95.0,33.8,16,14
2023,1,0,119.6,18.1,24,19
2023,2,0,30.3,7.1,14,8
2023,3,0,155.8,19.3,25,22
2023,4,0,105.6,18.2,19,14
2023,5,0,56.4,14.7,14,11
2023,6,0,106.2,22.6,18,16
2023,7,0,209.5,35.4,25,24
2023,8,0,152.7,39.2,24,15
2023,9,0,125.8,21.1,21,19
2023,10,0,144.2,25.5,20,16
2023,11,0,101.5,24.3,23,19
2023,12,0,172.2,25.0,28,19
2024,1,0,78.3,15.7,17,11
2024,2,0,119.8,22.8,25,20
2024,3,0,153.1,25.5,27,20
2024,4,0,115.5,22.5,22,17
2024,5,0,44.3,11.4,13,10
2024,6,0,37.0,9.5,18,12
2024,7,0,61.0,14.3,19,12
2024,8,0,104.8,16.0,22,20
2024,9,0,47.2,19.8,14,9
2024,10,0,76.8,9.3,24,17
2024,11,0,77.2,39.7,17,11
2024,12,0,85.2,26.3,24,15
2025,1,0,62.4,17.3,18,13
