Station Name: LOOPHEAD (Kilbaha South)
Station Height: 59 M 
Latitude:52.559  ,Longitude: -9.906


year:  -  Year
month: -  Month
rain:  -  Precipitation Amount (mm)
gdf:   -  Greatest daily fall (mm)
rd:    -  Number of rain days (0.2mm or more)
wd:    -  Number of wet days (1.0 mm or more)	
ind:   -  Indicator

year,month,ind,rain,gdf,rd,wd
2021,11,0,51.0,8.9,21,14
2021,12,0,83.1,11.7,23,23
2022,7,0,48.1,15.5,10,6
2022,8,0,38.7,17.4,9,9
2022,9,0,105.3,25.1,17,16
2022,10,0,139.7,20.0,26,26
2023,2,0,34.4,6.7,19,19
2023,3,0,135.6,20.2,29,26
2023,4,0,62.4,10.9,24,23
2023,5,0,40.8,10.4,17,16
2023,10,0,131.1,25.1,22,22
2024,1,0,74.4,10.5,25,21
