Station Name: BALLINGEARY (Tooreenduff)
Station Height: 104 M 
Latitude:51.836  ,Longitude: -9.255


year:  -  Year
month: -  Month
rain:  -  Precipitation Amount (mm)
gdf:   -  Greatest daily fall (mm)
rd:    -  Number of rain days (0.2mm or more)
wd:    -  Number of wet days (1.0 mm or more)	
ind:   -  Indicator

year,month,ind,rain,gdf,rd,wd
2021,2,0,346.5,60.0,23,19
2021,3,0,206.0,40.8,14,13
2021,4,0,21.0,6.1,11,6
2021,5,0,249.9,40.1,24,22
2021,6,0,50.8,15.4,13,9
2021,7,0,92.5,26.9,15,13
2021,8,0,105.5,19.9,14,11
2021,9,0,112.9,20.6,21,15
2021,10,0,352.8,43.3,23,22
2021,11,0,81.1,21.6,25,16
2021,12,0,286.0,32.3,26,26
2022,1,0,114.4,30.3,20,13
2022,2,0,306.2,45.6,25,23
2022,3,0,128.9,34.9,14,10
2022,4,0,93.3,21.2,14,11
2022,5,0,116.0,27.5,21,15
2022,6,0,170.7,65.9,19,13
2022,7,0,65.4,11.9,13,10
2022,8,0,30.3,11.7,9,6
2022,9,0,249.2,41.5,19,17
2022,10,0,402.3,47.4,28,25
2022,11,0,415.6,33.0,30,27
2022,12,0,244.5,27.8,18,16
2023,1,0,338.7,48.5,26,21
2023,2,0,67.8,17.9,17,12
2023,3,0,446.1,66.5,25,25
2023,4,0,112.4,35.0,24,14
2023,5,0,81.2,26.5,14,9
2023,6,0,123.3,19.7,18,16
2023,7,0,205.5,39.5,27,23
2023,8,0,162.1,59.4,21,18
2023,9,0,295.5,43.0,23,16
2023,10,0,412.5,58.0,28,25
2023,11,0,261.5,38.9,25,21
2023,12,0,320.1,47.8,25,23
2024,1,0,323.0,69.5,18,16
2024,3,0,360.0,55.8,27,26
2024,4,0,196.9,29.4,21,18
2024,5,0,108.6,27.1,16,11
2024,6,0,54.4,15.8,15,9
2024,7,0,52.3,11.3,18,11
2024,8,0,202.9,41.4,28,21
2024,9,0,143.3,51.6,16,13
2024,10,0,266.0,56.4,22,18
2024,11,0,244.6,68.9,26,18
2024,12,0,230.0,56.6,28,20
2025,1,0,293.5,48.1,22,17
