Station Name: CLONBUR (Petersburg O.E.C.)
Station Height: 18 M 
Latitude:53.555  ,Longitude: -9.384


year:  -  Year
month: -  Month
rain:  -  Precipitation Amount (mm)
gdf:   -  Greatest daily fall (mm)
rd:    -  Number of rain days (0.2mm or more)
wd:    -  Number of wet days (1.0 mm or more)	
ind:   -  Indicator

year,month,ind,rain,gdf,rd,wd
2020,3,0,221.9,29.1,21,17
2020,4,0,32.1,12.2,12,4
2020,5,0,68.1,14.4,13,8
2020,6,0,133.3,26.8,16,12
2020,7,0,195.1,43.1,21,16
2020,8,0,184.1,30.8,20,18
2020,9,0,140.3,52.1,22,15
2020,10,0,317.3,45.8,25,22
2020,11,0,282.7,33.8,26,21
2020,12,0,239.2,39.6,30,22
2021,1,0,235.4,33.0,23,20
2021,2,0,185.3,22.5,21,18
2021,3,0,258.5,52.9,18,15
2021,4,0,35.9,10.3,13,10
2021,5,0,166.9,34.6,23,21
2021,6,0,73.6,22.6,14,12
2021,7,0,47.9,13.1,10,9
2021,8,0,103.0,23.7,16,15
2021,9,0,151.8,30.8,20,15
2021,10,0,318.8,53.0,24,21
2021,11,0,121.2,31.6,23,18
2021,12,0,185.8,21.6,26,25
2022,1,0,124.8,19.6,18,14
2022,2,0,313.5,60.5,27,23
2022,3,0,83.3,18.7,11,8
2022,4,0,57.5,11.1,16,10
2022,5,0,141.4,28.6,19,18
2022,6,0,145.2,30.4,20,14
2022,7,0,49.7,17.0,8,6
2022,8,0,53.2,29.0,14,9
2022,9,0,164.8,43.6,15,13
2022,10,0,312.4,41.6,29,25
2022,11,0,303.1,26.6,29,26
2022,12,0,210.5,36.6,18,15
2023,1,0,276.7,47.4,26,20
2023,2,0,69.0,14.6,21,14
2023,3,0,299.0,48.7,26,22
2023,4,0,120.8,25.3,18,15
2023,5,0,67.7,27.0,9,6
2023,6,0,123.7,26.5,17,14
2023,7,0,205.4,42.9,27,21
2023,8,0,160.3,27.2,22,14
2023,9,0,183.0,34.0,19,17
2023,10,0,247.3,46.6,22,20
2023,11,0,211.4,39.9,22,19
2023,12,0,385.5,37.0,29,25
2024,1,0,232.1,45.8,22,17
2024,2,0,219.0,21.6,27,25
2024,3,0,187.1,34.9,26,19
2024,4,0,169.7,31.7,19,16
2024,5,0,71.9,15.0,14,12
2024,6,0,73.6,12.0,15,11
2024,7,0,57.0,16.0,16,9
2024,8,0,315.6,79.6,23,22
2024,9,0,74.0,24.9,13,9
2024,10,0,148.3,41.3,22,17
2024,11,0,189.9,79.2,20,13
2024,12,0,199.6,43.5,23,19
2025,1,0,160.2,32.6,25,15
