Station Name: GALWAY (Circular Road)
Station Height: 54 M 
Latitude:53.285  ,Longitude: -9.084


year:  -  Year
month: -  Month
rain:  -  Precipitation Amount (mm)
gdf:   -  Greatest daily fall (mm)
rd:    -  Number of rain days (0.2mm or more)
wd:    -  Number of wet days (1.0 mm or more)	
ind:   -  Indicator

year,month,ind,rain,gdf,rd,wd
2020,9,0,68.5,14.7,15,12
2020,10,0,165.9,28.7,23,22
2020,11,0,151.3,34.4,21,19
2020,12,0,145.9,17.8,27,21
2021,1,0,131.8,19.7,19,18
2021,2,0,94.6,18.7,17,17
2021,3,0,100.2,14.8,16,14
2021,4,0,29.8,5.0,12,9
2021,5,0,102.4,17.3,23,19
2021,6,0,38.9,7.3,14,13
2021,10,0,140.2,19.8,25,20
2021,11,0,84.1,17.8,25,17
2021,12,0,114.4,11.4,23,20
2022,1,0,71.6,16.5,18,15
2022,2,0,146.8,18.2,25,23
2022,3,0,38.8,10.6,12,10
2022,4,0,29.4,4.5,16,10
2022,5,0,91.8,19.3,18,16
2022,6,0,80.0,16.5,20,11
2022,10,0,202.3,22.3,27,26
2022,11,0,148.3,18.6,26,21
2022,12,0,144.3,34.3,17,17
2023,1,0,119.8,19.7,28,22
2023,2,0,46.5,6.3,17,11
2023,3,0,202.4,27.5,24,22
2023,4,0,89.6,20.3,21,15
2023,5,0,47.7,12.6,12,6
2023,6,0,75.0,14.5,18,14
2023,7,0,209.4,45.7,26,20
2023,8,0,134.6,37.7,23,11
2023,9,0,119.1,18.7,17,11
2023,10,0,205.4,31.8,24,19
2023,11,0,122.0,20.0,24,19
2023,12,0,225.1,28.8,30,22
2024,1,0,81.5,17.2,20,11
2024,2,0,185.8,23.9,28,26
2024,3,0,135.7,24.0,26,18
2024,4,0,94.4,16.5,20,17
2024,5,0,68.4,19.8,14,11
2024,10,0,114.7,42.0,27,16
2024,11,0,90.2,28.7,23,13
2024,12,0,84.1,13.4,26,20
2025,1,0,60.5,12.2,20,14
