Station Name: TARBERT (Kilpadogue)
Station Height: 18 M 
Latitude:52.571  ,Longitude: -9.385


year:  -  Year
month: -  Month
rain:  -  Precipitation Amount (mm)
gdf:   -  Greatest daily fall (mm)
rd:    -  Number of rain days (0.2mm or more)
wd:    -  Number of wet days (1.0 mm or more)	
ind:   -  Indicator

year,month,ind,rain,gdf,rd,wd
2021,5,0,108.3,16.0,23,22
2021,6,0,29.3,7.8,15,8
2021,7,0,86.1,16.2,20,14
2021,8,0,85.6,21.8,19,13
2021,9,0,105.3,14.1,22,14
2021,10,0,154.1,16.7,22,20
2021,11,0,86.6,17.7,25,17
2021,12,0,122.2,15.3,23,20
2022,1,0,70.0,13.9,18,12
2022,2,0,145.9,22.6,25,23
2022,3,0,59.4,20.6,11,9
2022,4,0,49.3,7.9,17,13
2022,5,0,61.5,9.8,22,15
2022,6,0,120.6,34.3,21,15
2022,7,0,53.8,20.8,17,11
2022,8,0,36.6,14.8,13,10
2022,9,0,110.8,22.3,19,15
2022,10,0,203.4,24.9,28,25
2022,11,0,186.2,31.5,30,20
2022,12,0,133.8,30.1,20,16
2023,1,0,137.1,24.1,27,19
2023,2,0,31.2,8.9,17,8
2023,3,0,166.5,25.8,24,23
2023,4,0,79.7,25.8,18,10
2023,5,0,52.1,25.1,12,7
2023,6,0,136.6,33.7,20,15
2023,7,0,231.2,27.9,29,24
2023,8,0,93.1,20.6,22,16
2023,9,0,123.6,18.0,18,14
2023,10,0,128.9,33.7,24,19
2023,11,0,135.3,18.6,22,20
2023,12,0,187.0,30.2,26,26
2024,1,0,98.5,17.4,16,13
2024,2,0,188.0,21.1,28,25
2024,3,0,169.1,28.3,24,21
2024,4,0,78.5,10.5,22,16
2024,5,0,55.7,16.5,12,9
2024,6,0,48.4,9.3,16,12
2024,7,0,45.2,10.2,18,13
2024,8,0,91.6,19.8,23,17
2024,9,0,53.7,12.7,15,9
2024,10,0,108.3,18.7,24,17
2024,11,0,127.4,29.4,20,14
2024,12,0,120.3,35.7,23,17
2025,1,0,125.7,22.0,19,17
