Station Name: CURRACLOE (Coolrainey)
Station Height: 20 M 
Latitude:52.387  ,Longitude: -6.372


year:  -  Year
month: -  Month
rain:  -  Precipitation Amount (mm)
gdf:   -  Greatest daily fall (mm)
rd:    -  Number of rain days (0.2mm or more)
wd:    -  Number of wet days (1.0 mm or more)	
ind:   -  Indicator

year,month,ind,rain,gdf,rd,wd
2021,6,0,26.0,5.2,13,9
2021,7,0,84.3,22.9,15,13
2021,8,0,61.9,16.3,15,11
2021,9,0,60.9,12.2,15,10
2021,10,0,191.6,54.0,24,18
2021,11,0,25.4,8.5,16,6
2021,12,0,183.3,60.2,20,18
2022,1,0,22.9,3.9,14,8
2022,2,0,94.2,17.2,22,15
2022,3,0,91.2,42.4,14,8
2022,4,0,38.5,8.3,14,9
2022,5,0,63.0,14.1,17,12
2022,6,0,72.8,15.7,15,12
2022,7,0,24.3,10.9,7,5
2022,8,0,26.0,8.0,6,5
2022,9,0,135.4,30.1,16,13
2022,10,0,154.0,20.1,24,22
2022,11,0,164.4,21.0,24,23
2022,12,0,103.8,19.8,23,17
2023,1,0,84.3,18.1,16,11
2023,2,0,8.9,2.6,9,3
2023,3,0,149.6,17.9,26,21
2023,4,0,50.1,13.2,14,11
2023,5,0,45.0,10.8,8,7
2023,6,0,52.6,21.8,13,7
2023,7,0,121.2,16.5,23,17
2023,8,0,87.1,32.4,18,12
2023,9,0,167.5,31.3,22,19
2023,10,0,262.9,39.4,22,19
2023,11,0,96.1,14.6,19,15
2023,12,0,168.6,47.5,25,20
2024,1,0,101.3,25.1,16,14
2024,2,0,103.6,20.9,23,15
2024,3,0,122.1,23.2,25,21
2024,4,0,118.6,17.1,20,17
2024,5,0,65.2,10.9,13,9
2024,6,0,36.8,8.0,12,7
2024,7,0,60.7,13.3,17,13
2024,8,0,59.8,17.3,18,12
2024,9,0,86.0,28.1,15,10
2024,10,0,91.3,16.5,24,14
2024,11,0,100.3,46.9,15,11
2024,12,0,82.7,24.4,17,11
2025,1,0,128.8,29.0,18,13
