Station Name: GALBALLY-Coolafullaun
Station Height: 76 M 
Latitude:52.393  ,Longitude: -6.637


year:  -  Year
month: -  Month
rain:  -  Precipitation Amount (mm)
gdf:   -  Greatest daily fall (mm)
rd:    -  Number of rain days (0.2mm or more)
wd:    -  Number of wet days (1.0 mm or more)	
ind:   -  Indicator

year,month,ind,rain,gdf,rd,wd
2019,7,0,35.1,11.7,13,6
2019,8,0,93.8,20.6,20,15
2019,9,0,97.1,20.3,21,12
2019,10,0,159.3,22.2,22,17
2019,11,0,160.6,16.7,22,21
2019,12,0,96.2,23.8,26,16
2020,1,0,102.7,14.6,24,15
2020,2,0,150.7,14.8,25,23
2020,3,0,47.6,8.4,16,14
2020,4,0,49.7,22.2,7,5
2020,5,0,17.2,10.1,5,3
2020,6,0,88.4,18.5,15,13
2020,7,0,84.3,24.5,19,15
2020,8,0,172.1,32.9,20,14
2020,9,0,43.3,17.5,12,7
2020,10,0,127.3,18.2,24,15
2020,11,0,107.1,17.9,20,18
2020,12,0,161.5,23.6,23,18
2021,1,0,139.9,14.9,22,19
2021,2,0,126.8,17.2,23,17
2021,3,0,43.0,15.6,13,7
2021,4,0,13.4,5.9,10,4
