Station Name: LOOPHEAD (Kilbaha South)
Station Height: 59 M 
Latitude:52.559  ,Longitude: -9.906


date:  -  09 to 09 utc
rain:  -  Precipitation Amount (mm)
ind:   -  Indicator

date,ind,rain
01-nov-2021,1,4.300
02-nov-2021,1,1.300
03-nov-2021,1,0.200
04-nov-2021,1,0.300
05-nov-2021,1,0.600
06-nov-2021,1,0.800
07-nov-2021,1,2.700
08-nov-2021,0,3.100
09-nov-2021,0,1.500
10-nov-2021,0,0.100
11-nov-2021,0,7.200
12-nov-2021,0,0.500
13-nov-2021,0,0.000
14-nov-2021,0,5.100
15-nov-2021,0,0.400
16-nov-2021,0,0.000
17-nov-2021,0,0.000
18-nov-2021,0,1.200
19-nov-2021,0,0.000
20-nov-2021,0,2.100
21-nov-2021,0,0.000
22-nov-2021,0,0.000
23-nov-2021,0,0.000
24-nov-2021,0,1.500
25-nov-2021,0,0.500
26-nov-2021,0,1.500
27-nov-2021,0,4.100
28-nov-2021,0,3.100
29-nov-2021,0,0.000
30-nov-2021,0,8.900
01-dec-2021,0,5.500
02-dec-2021,0,3.600
03-dec-2021,0,2.500
04-dec-2021,0,3.400
05-dec-2021,0,4.100
06-dec-2021,1,11.700
07-dec-2021,1,6.600
08-dec-2021,0,5.500
09-dec-2021,0,2.100
10-dec-2021,0,8.300
11-dec-2021,0,1.200
12-dec-2021,0,0.000
13-dec-2021,0,0.000
14-dec-2021,0,0.000
15-dec-2021,0,0.000
16-dec-2021,0,0.000
17-dec-2021,0,0.000
18-dec-2021,0,0.000
19-dec-2021,0,2.200
20-dec-2021,0,1.300
21-dec-2021,0,1.400
22-dec-2021,0,4.100
23-dec-2021,0,2.100
24-dec-2021,0,1.100
25-dec-2021,0,3.100
26-dec-2021,0,3.600
27-dec-2021,0,1.200
28-dec-2021,0,3.100
29-dec-2021,0,2.300
30-dec-2021,0,3.100
31-dec-2021,0,0.000
01-jul-2022,1,5.000
02-jul-2022,0,0.000
03-jul-2022,0,0.000
04-jul-2022,0,0.000
05-jul-2022,0,0.000
06-jul-2022,0,0.000
07-jul-2022,0,0.000
08-jul-2022,0,0.000
09-jul-2022,0,0.000
10-jul-2022,0,0.800
11-jul-2022,0,0.500
12-jul-2022,0,0.000
13-jul-2022,0,0.000
14-jul-2022,0,0.000
15-jul-2022,0,0.000
16-jul-2022,0,0.000
17-jul-2022,0,0.000
18-jul-2022,0,0.000
19-jul-2022,0,0.900
20-jul-2022,0,0.200
21-jul-2022,0,0.000
22-jul-2022,0,5.600
23-jul-2022,0,15.000
24-jul-2022,0,3.100
25-jul-2022,0,0.000
26-jul-2022,0,0.000
27-jul-2022,0,0.000
28-jul-2022,0,0.000
29-jul-2022,0,0.000
30-jul-2022,1,15.500
31-jul-2022,1,1.500
01-aug-2022,1,17.400
02-aug-2022,1,1.400
03-aug-2022,0,1.200
04-aug-2022,0,0.000
05-aug-2022,0,0.000
06-aug-2022,0,0.000
07-aug-2022,0,0.000
08-aug-2022,0,0.000
09-aug-2022,0,0.000
10-aug-2022,0,0.000
11-aug-2022,0,0.000
12-aug-2022,0,0.000
13-aug-2022,0,0.000
14-aug-2022,0,0.000
15-aug-2022,0,0.000
16-aug-2022,0,0.000
17-aug-2022,0,6.500
18-aug-2022,0,1.200
19-aug-2022,0,0.000
20-aug-2022,0,6.000
21-aug-2022,1,1.500
22-aug-2022,0,2.400
23-aug-2022,0,1.100
24-aug-2022,0,0.000
25-aug-2022,0,0.000
26-aug-2022,0,0.000
27-aug-2022,0,0.000
28-aug-2022,0,0.000
29-aug-2022,0,0.000
30-aug-2022,0,0.000
31-aug-2022,0,0.000
01-sep-2022,0,0.000
02-sep-2022,0,22.500
03-sep-2022,0,3.200
04-sep-2022,0,8.000
05-sep-2022,0,3.200
06-sep-2022,0,4.300
07-sep-2022,1,4.300
08-sep-2022,1,0.500
09-sep-2022,1,0.100
10-sep-2022,1,9.100
11-sep-2022,0,0.000
12-sep-2022,0,0.000
13-sep-2022,0,2.100
14-sep-2022,0,0.000
15-sep-2022,0,0.000
16-sep-2022,0,0.000
