Station Name: BALLINGEARY (Tooreenduff)
Station Height: 104 M 
Latitude:51.836  ,Longitude: -9.255


date:  -  09 to 09 utc
rain:  -  Precipitation Amount (mm)
ind:   -  Indicator

date,ind,rain
01-feb-2021,0,26.100
02-feb-2021,0,8.000
03-feb-2021,0,7.300
04-feb-2021,0,2.300
05-feb-2021,0,3.900
06-feb-2021,0,0.200
07-feb-2021,0,0.800
08-feb-2021,0,0.100
09-feb-2021,4,0.000
10-feb-2021,0,4.500
11-feb-2021,0,17.200
12-feb-2021,0,60.000
13-feb-2021,0,9.200
14-feb-2021,0,17.800
15-feb-2021,0,10.300
16-feb-2021,0,8.800
17-feb-2021,0,22.200
18-feb-2021,0,32.500
19-feb-2021,0,12.500
20-feb-2021,0,11.600
21-feb-2021,0,0.600
22-feb-2021,0,56.600
23-feb-2021,0,30.300
24-feb-2021,0,2.600
25-feb-2021,0,0.900
26-feb-2021,0,0.100
27-feb-2021,0,0.100
28-feb-2021,4,0.000
01-mar-2021,0,0.000
02-mar-2021,0,0.000
03-mar-2021,0,0.000
04-mar-2021,0,0.000
05-mar-2021,0,0.000
06-mar-2021,4,0.000
07-mar-2021,4,0.000
08-mar-2021,0,1.000
09-mar-2021,0,40.800
10-mar-2021,0,32.100
11-mar-2021,0,13.000
12-mar-2021,0,14.700
13-mar-2021,0,3.200
14-mar-2021,0,0.200
15-mar-2021,4,0.000
16-mar-2021,0,0.000
17-mar-2021,4,0.000
18-mar-2021,0,0.000
19-mar-2021,0,0.000
20-mar-2021,0,0.000
21-mar-2021,0,0.000
22-mar-2021,4,0.000
23-mar-2021,0,4.800
24-mar-2021,0,5.400
25-mar-2021,0,13.200
26-mar-2021,0,6.200
27-mar-2021,0,33.000
28-mar-2021,0,36.500
29-mar-2021,0,1.900
30-mar-2021,0,0.000
31-mar-2021,0,0.000
01-apr-2021,0,0.000
02-apr-2021,0,0.000
03-apr-2021,0,0.000
04-apr-2021,0,0.000
05-apr-2021,4,0.000
06-apr-2021,0,0.500
07-apr-2021,4,0.000
08-apr-2021,0,0.700
09-apr-2021,0,1.100
10-apr-2021,4,0.000
11-apr-2021,0,0.000
12-apr-2021,0,0.900
13-apr-2021,0,0.000
14-apr-2021,0,0.000
15-apr-2021,0,0.000
16-apr-2021,0,0.000
17-apr-2021,0,2.500
18-apr-2021,0,2.800
19-apr-2021,0,4.200
20-apr-2021,0,0.500
21-apr-2021,0,0.000
22-apr-2021,0,0.000
23-apr-2021,0,0.000
24-apr-2021,0,0.000
25-apr-2021,0,0.000
26-apr-2021,0,0.000
27-apr-2021,0,6.100
28-apr-2021,0,1.200
29-apr-2021,0,0.000
30-apr-2021,0,0.500
01-may-2021,0,0.000
02-may-2021,0,20.100
03-may-2021,0,9.500
04-may-2021,0,2.500
05-may-2021,0,0.000
06-may-2021,0,0.000
07-may-2021,0,25.400
08-may-2021,0,10.000
09-may-2021,0,8.300
10-may-2021,0,4.000
11-may-2021,0,6.300
12-may-2021,0,6.400
13-may-2021,0,0.100
14-may-2021,0,12.700
15-may-2021,0,8.800
16-may-2021,0,1.100
17-may-2021,0,5.200
18-may-2021,0,1.000
19-may-2021,0,32.100
20-may-2021,0,40.100
21-may-2021,0,2.100
22-may-2021,0,21.800
23-may-2021,0,9.800
24-may-2021,0,5.000
25-may-2021,0,6.100
26-may-2021,0,0.700
27-may-2021,0,9.800
28-may-2021,0,0.100
29-may-2021,0,0.000
30-may-2021,0,0.000
31-may-2021,0,0.900
01-jun-2021,0,5.200
02-jun-2021,0,4.600
03-jun-2021,0,1.400
04-jun-2021,0,1.900
05-jun-2021,4,0.000
06-jun-2021,0,0.000
07-jun-2021,0,4.500
08-jun-2021,0,15.400
09-jun-2021,0,5.000
10-jun-2021,0,0.500
11-jun-2021,4,0.000
12-jun-2021,0,0.000
13-jun-2021,4,0.000
14-jun-2021,0,0.000
15-jun-2021,0,8.100
16-jun-2021,4,0.000
17-jun-2021,4,0.000
18-jun-2021,0,0.000
19-jun-2021,0,0.500
20-jun-2021,0,0.600
21-jun-2021,0,0.000
22-jun-2021,0,2.700
23-jun-2021,4,0.000
24-jun-2021,0,0.400
25-jun-2021,4,0.000
26-jun-2021,0,0.000
27-jun-2021,0,0.000
28-jun-2021,0,0.000
29-jun-2021,0,0.000
30-jun-2021,0,0.000
01-jul-2021,0,0.000
02-jul-2021,0,13.000
03-jul-2021,0,12.400
04-jul-2021,1,2.600
05-jul-2021,1,2.000
06-jul-2021,0,6.900
07-jul-2021,0,0.400
08-jul-2021,0,1.700
09-jul-2021,0,2.100
10-jul-2021,0,7.100
11-jul-2021,0,1.900
12-jul-2021,0,0.100
13-jul-2021,0,0.000
14-jul-2021,0,0.000
15-jul-2021,0,0.000
16-jul-2021,0,0.000
17-jul-2021,0,0.000
18-jul-2021,0,0.000
19-jul-2021,0,0.000
20-jul-2021,0,0.000
21-jul-2021,0,0.000
22-jul-2021,0,0.000
23-jul-2021,0,0.000
24-jul-2021,0,0.000
25-jul-2021,0,0.000
26-jul-2021,0,26.900
27-jul-2021,0,1.200
28-jul-2021,0,0.600
29-jul-2021,0,12.200
30-jul-2021,0,1.300
31-jul-2021,0,0.100
01-aug-2021,4,0.000
02-aug-2021,0,3.100
03-aug-2021,0,2.300
04-aug-2021,0,11.600
