Station Name: BANTRY (Deerpark House)
Station Height: 35 M 
Latitude:51.670  ,Longitude: -9.471


date:  -  09 to 09 utc
rain:  -  Precipitation Amount (mm)
ind:   -  Indicator

date,ind,rain
01-jun-2019,1,9.500
02-jun-2019,0,0.200
03-jun-2019,0,17.100
04-jun-2019,0,3.500
05-jun-2019,0,2.600
06-jun-2019,0,0.000
07-jun-2019,0,0.000
08-jun-2019,0,2.200
09-jun-2019,0,0.000
10-jun-2019,0,1.800
11-jun-2019,0,0.000
12-jun-2019,0,0.000
13-jun-2019,0,0.500
14-jun-2019,0,0.000
15-jun-2019,0,0.100
16-jun-2019,0,2.200
17-jun-2019,0,0.000
18-jun-2019,0,0.000
19-jun-2019,0,2.400
20-jun-2019,0,0.000
21-jun-2019,0,0.000
22-jun-2019,0,21.100
23-jun-2019,0,19.200
24-jun-2019,0,0.000
25-jun-2019,0,7.700
26-jun-2019,0,0.000
27-jun-2019,0,0.200
28-jun-2019,0,0.000
29-jun-2019,0,0.000
30-jun-2019,0,0.000
01-jul-2019,0,0.000
02-jul-2019,0,0.000
03-jul-2019,0,0.000
04-jul-2019,0,0.000
05-jul-2019,0,0.000
06-jul-2019,0,0.000
07-jul-2019,0,0.500
08-jul-2019,0,0.000
09-jul-2019,1,0.900
10-jul-2019,1,7.500
11-jul-2019,1,0.100
12-jul-2019,1,0.000
13-jul-2019,1,0.000
14-jul-2019,1,0.000
15-jul-2019,1,1.800
16-jul-2019,1,1.800
17-jul-2019,0,5.800
18-jul-2019,0,9.400
19-jul-2019,1,1.900
20-jul-2019,1,0.500
21-jul-2019,0,2.400
22-jul-2019,0,0.000
23-jul-2019,1,2.400
24-jul-2019,1,9.600
25-jul-2019,1,4.000
26-jul-2019,1,0.300
27-jul-2019,0,0.000
28-jul-2019,0,0.000
29-jul-2019,1,9.300
30-jul-2019,1,0.700
31-jul-2019,0,0.000
01-aug-2019,0,0.000
02-aug-2019,1,3.500
03-aug-2019,1,7.500
04-aug-2019,1,16.900
05-aug-2019,1,6.500
06-aug-2019,0,0.000
07-aug-2019,0,0.000
08-aug-2019,0,52.600
09-aug-2019,1,14.600
10-aug-2019,1,5.700
11-aug-2019,1,1.100
12-aug-2019,0,5.100
13-aug-2019,1,9.300
14-aug-2019,1,1.500
15-aug-2019,1,16.600
16-aug-2019,1,4.200
17-aug-2019,1,1.700
18-aug-2019,1,1.400
19-aug-2019,1,3.200
20-aug-2019,1,0.600
21-aug-2019,1,8.900
22-aug-2019,1,0.200
23-aug-2019,1,0.200
24-aug-2019,1,0.200
25-aug-2019,1,0.000
26-aug-2019,1,15.700
27-aug-2019,1,8.100
28-aug-2019,1,0.500
29-aug-2019,1,1.100
30-aug-2019,1,13.100
31-aug-2019,1,0.200
01-sep-2019,1,1.200
02-sep-2019,1,2.000
03-sep-2019,1,3.500
04-sep-2019,0,0.000
05-sep-2019,0,0.800
06-sep-2019,0,0.000
07-sep-2019,0,0.000
08-sep-2019,1,2.300
09-sep-2019,1,0.200
10-sep-2019,1,4.600
11-sep-2019,1,3.100
12-sep-2019,1,0.200
13-sep-2019,1,0.000
14-sep-2019,1,0.000
15-sep-2019,1,0.200
16-sep-2019,1,0.300
17-sep-2019,1,0.000
18-sep-2019,1,0.000
19-sep-2019,1,0.000
20-sep-2019,1,1.400
21-sep-2019,1,14.100
22-sep-2019,1,6.400
23-sep-2019,1,7.800
24-sep-2019,1,6.800
25-sep-2019,1,5.400
26-sep-2019,1,9.500
27-sep-2019,1,2.200
28-sep-2019,1,20.400
29-sep-2019,1,5.800
30-sep-2019,1,21.100
01-dec-2019,0,0.000
02-dec-2019,0,0.000
03-dec-2019,0,7.700
04-dec-2019,1,1.600
05-dec-2019,1,9.200
06-dec-2019,1,0.200
07-dec-2019,1,12.400
08-dec-2019,1,7.200
09-dec-2019,1,7.800
10-dec-2019,1,7.800
11-dec-2019,1,20.000
12-dec-2019,1,4.700
13-dec-2019,1,6.700
14-dec-2019,1,6.300
15-dec-2019,1,2.300
16-dec-2019,1,0.100
17-dec-2019,1,15.300
18-dec-2019,1,15.800
19-dec-2019,1,1.300
20-dec-2019,1,8.700
21-dec-2019,1,2.100
22-dec-2019,1,2.600
23-dec-2019,1,7.600
24-dec-2019,1,1.800
25-dec-2019,1,24.500
26-dec-2019,1,9.500
27-dec-2019,1,1.700
28-dec-2019,1,0.100
29-dec-2019,1,0.000
30-dec-2019,1,0.600
31-dec-2019,0,0.000
01-jan-2020,1,2.200
02-jan-2020,1,2.800
03-jan-2020,1,0.200
04-jan-2020,1,1.600
05-jan-2020,1,7.400
06-jan-2020,1,2.100
07-jan-2020,1,1.600
08-jan-2020,1,9.200
09-jan-2020,1,0.100
10-jan-2020,1,4.000
11-jan-2020,1,8.900
12-jan-2020,1,4.900
13-jan-2020,1,12.300
14-jan-2020,1,4.100
15-jan-2020,1,9.000
16-jan-2020,1,3.100
17-jan-2020,1,0.500
18-jan-2020,1,0.100
19-jan-2020,1,0.300
20-jan-2020,1,0.000
21-jan-2020,1,0.100
22-jan-2020,1,0.000
23-jan-2020,1,0.000
24-jan-2020,1,0.400
25-jan-2020,1,6.700
26-jan-2020,1,6.400
27-jan-2020,1,6.800
28-jan-2020,1,1.500
29-jan-2020,1,1.600
30-jan-2020,1,4.300
31-jan-2020,1,0.700
01-mar-2020,1,3.800
02-mar-2020,1,5.200
03-mar-2020,1,6.300
04-mar-2020,1,0.400
05-mar-2020,1,7.800
06-mar-2020,1,1.400
07-mar-2020,1,13.900
08-mar-2020,1,6.400
09-mar-2020,1,20.600
10-mar-2020,1,2.500
11-mar-2020,1,10.800
12-mar-2020,1,3.600
13-mar-2020,1,12.700
14-mar-2020,1,10.500
15-mar-2020,1,0.500
16-mar-2020,1,11.500
17-mar-2020,1,10.300
18-mar-2020,0,0.000
19-mar-2020,0,0.000
20-mar-2020,0,7.000
21-mar-2020,0,0.000
22-mar-2020,0,0.000
23-mar-2020,0,0.000
24-mar-2020,0,14.900
25-mar-2020,0,0.000
26-mar-2020,0,0.000
27-mar-2020,0,0.000
28-mar-2020,0,0.000
29-mar-2020,0,0.000
30-mar-2020,0,0.000
31-mar-2020,0,0.000
01-apr-2020,0,0.000
02-apr-2020,0,0.000
03-apr-2020,0,0.300
04-apr-2020,0,0.000
05-apr-2020,1,7.700
06-apr-2020,1,0.100
07-apr-2020,1,0.000
08-apr-2020,1,0.100
09-apr-2020,1,0.000
10-apr-2020,1,0.000
11-apr-2020,1,7.300
12-apr-2020,1,1.600
13-apr-2020,0,0.000
14-apr-2020,0,0.000
15-apr-2020,0,0.000
16-apr-2020,0,0.000
17-apr-2020,1,3.400
18-apr-2020,1,1.400
19-apr-2020,1,0.400
20-apr-2020,0,0.000
21-apr-2020,0,0.000
22-apr-2020,0,0.000
23-apr-2020,0,0.000
24-apr-2020,0,0.000
25-apr-2020,0,0.000
26-apr-2020,0,3.200
27-apr-2020,0,0.000
28-apr-2020,1,10.700
29-apr-2020,1,15.400
30-apr-2020,1,0.500
01-may-2020,1,0.400
02-may-2020,1,2.300
03-may-2020,1,0.000
04-may-2020,1,0.100
05-may-2020,1,5.800
06-may-2020,1,19.300
07-may-2020,1,0.100
08-may-2020,1,0.000
09-may-2020,1,0.800
10-may-2020,0,0.000
11-may-2020,0,0.000
12-may-2020,0,0.000
13-may-2020,0,0.000
14-may-2020,0,0.000
15-may-2020,0,0.000
16-may-2020,0,0.000
17-may-2020,1,4.700
18-may-2020,1,0.300
19-may-2020,1,1.300
20-may-2020,1,0.100
21-may-2020,0,34.500
22-may-2020,1,4.700
23-may-2020,1,0.800
24-may-2020,0,0.000
25-may-2020,0,2.800
26-may-2020,0,0.000
27-may-2020,0,0.000
28-may-2020,0,0.000
29-may-2020,0,0.000
30-may-2020,0,0.000
31-may-2020,0,0.000
01-jun-2020,0,0.000
02-jun-2020,0,0.000
03-jun-2020,0,0.000
04-jun-2020,0,0.000
05-jun-2020,0,0.400
06-jun-2020,0,0.000
07-jun-2020,0,0.000
08-jun-2020,0,0.000
09-jun-2020,1,1.100
10-jun-2020,1,1.700
11-jun-2020,0,0.000
12-jun-2020,0,10.000
13-jun-2020,0,10.200
14-jun-2020,0,0.000
15-jun-2020,0,0.000
16-jun-2020,0,0.000
17-jun-2020,0,0.000
18-jun-2020,0,0.000
19-jun-2020,0,0.000
20-jun-2020,1,29.300
21-jun-2020,1,4.900
22-jun-2020,1,10.700
23-jun-2020,1,27.600
24-jun-2020,1,0.100
25-jun-2020,1,0.100
26-jun-2020,1,7.800
27-jun-2020,1,2.200
28-jun-2020,1,0.300
29-jun-2020,1,1.100
30-jun-2020,0,0.000
01-jul-2020,0,0.000
02-jul-2020,0,16.900
03-jul-2020,1,8.200
04-jul-2020,1,1.300
05-jul-2020,1,0.100
06-jul-2020,1,0.400
07-jul-2020,1,5.000
08-jul-2020,1,8.900
09-jul-2020,0,0.000
10-jul-2020,0,0.000
11-jul-2020,0,0.000
12-jul-2020,0,12.000
13-jul-2020,0,0.000
14-jul-2020,0,0.000
15-jul-2020,0,0.000
16-jul-2020,0,0.000
17-jul-2020,0,16.700
18-jul-2020,0,0.000
19-jul-2020,0,0.000
20-jul-2020,0,0.000
21-jul-2020,0,0.000
22-jul-2020,1,6.100
23-jul-2020,1,0.100
24-jul-2020,1,8.400
25-jul-2020,1,2.200
26-jul-2020,1,19.500
27-jul-2020,1,0.200
28-jul-2020,1,1.400
29-jul-2020,1,40.400
30-jul-2020,1,9.400
31-jul-2020,1,0.400
01-aug-2020,0,0.000
02-aug-2020,1,0.100
03-aug-2020,1,5.600
04-aug-2020,1,43.900
05-aug-2020,1,1.200
06-aug-2020,1,4.200
07-aug-2020,0,0.000
08-aug-2020,0,0.000
09-aug-2020,0,0.000
10-aug-2020,0,0.000
11-aug-2020,0,0.000
12-aug-2020,1,16.700
13-aug-2020,1,11.400
14-aug-2020,1,34.500
15-aug-2020,1,6.700
16-aug-2020,1,11.400
17-aug-2020,1,2.400
18-aug-2020,1,0.600
19-aug-2020,1,48.100
20-aug-2020,1,23.000
21-aug-2020,1,9.600
22-aug-2020,1,0.800
23-aug-2020,1,6.100
24-aug-2020,1,55.900
25-aug-2020,1,0.800
26-aug-2020,1,6.200
27-aug-2020,0,0.500
28-aug-2020,0,0.000
29-aug-2020,0,0.000
30-aug-2020,0,0.000
31-aug-2020,1,3.000
01-nov-2020,1,28.900
02-nov-2020,1,4.300
03-nov-2020,0,6.600
04-nov-2020,0,0.000
05-nov-2020,0,0.000
06-nov-2020,0,0.000
07-nov-2020,1,4.300
08-nov-2020,1,4.400
09-nov-2020,1,2.100
10-nov-2020,1,23.600
