Station Name: CLONBUR (Petersburg O.E.C.)
Station Height: 18 M 
Latitude:53.555  ,Longitude: -9.384


date:  -  09 to 09 utc
rain:  -  Precipitation Amount (mm)
ind:   -  Indicator

date,ind,rain
01-mar-2020,0,4.300
02-mar-2020,0,10.300
03-mar-2020,0,0.700
04-mar-2020,4,0.000
05-mar-2020,0,12.600
06-mar-2020,0,2.100
07-mar-2020,0,27.200
08-mar-2020,0,7.800
09-mar-2020,0,28.800
10-mar-2020,0,4.800
11-mar-2020,0,14.900
12-mar-2020,0,7.100
13-mar-2020,0,0.500
14-mar-2020,0,29.100
15-mar-2020,0,0.500
16-mar-2020,0,21.100
17-mar-2020,0,21.700
18-mar-2020,4,0.000
19-mar-2020,4,0.000
20-mar-2020,0,0.300
21-mar-2020,0,15.100
22-mar-2020,0,0.000
23-mar-2020,0,1.900
24-mar-2020,0,8.200
25-mar-2020,0,2.900
26-mar-2020,0,0.000
27-mar-2020,0,0.000
28-mar-2020,0,0.000
29-mar-2020,0,0.000
30-mar-2020,0,0.000
31-mar-2020,4,0.000
01-apr-2020,4,0.000
02-apr-2020,0,0.600
03-apr-2020,0,0.200
04-apr-2020,4,0.000
05-apr-2020,0,11.400
06-apr-2020,0,0.800
07-apr-2020,4,0.000
08-apr-2020,0,0.000
09-apr-2020,0,0.000
10-apr-2020,0,1.300
11-apr-2020,0,0.300
12-apr-2020,0,0.200
13-apr-2020,0,0.000
14-apr-2020,0,0.000
15-apr-2020,0,0.000
16-apr-2020,0,0.000
17-apr-2020,0,0.200
18-apr-2020,0,0.400
19-apr-2020,0,0.000
20-apr-2020,0,0.000
21-apr-2020,0,0.000
22-apr-2020,0,0.000
23-apr-2020,4,0.000
24-apr-2020,0,0.000
25-apr-2020,0,0.000
26-apr-2020,0,0.000
27-apr-2020,0,0.100
28-apr-2020,0,12.200
29-apr-2020,0,4.000
30-apr-2020,0,0.400
01-may-2020,0,0.600
02-may-2020,0,0.000
03-may-2020,0,0.000
04-may-2020,0,0.000
05-may-2020,0,0.100
06-may-2020,0,8.800
07-may-2020,0,2.100
08-may-2020,0,0.100
09-may-2020,0,0.200
10-may-2020,0,0.000
11-may-2020,0,0.000
12-may-2020,0,0.000
13-may-2020,0,0.000
14-may-2020,4,0.000
15-may-2020,4,0.000
