Station Name: GALWAY (Circular Road)
Station Height: 54 M 
Latitude:53.285  ,Longitude: -9.084


date:  -  09 to 09 utc
rain:  -  Precipitation Amount (mm)
ind:   -  Indicator

date,ind,rain
01-sep-2020,0,14.700
02-sep-2020,0,6.800
03-sep-2020,0,0.100
04-sep-2020,0,0.900
05-sep-2020,0,0.800
06-sep-2020,0,2.900
07-sep-2020,0,3.800
08-sep-2020,0,4.700
09-sep-2020,0,0.700
10-sep-2020,0,0.100
11-sep-2020,0,2.400
12-sep-2020,4,0.000
13-sep-2020,0,0.000
14-sep-2020,0,1.100
15-sep-2020,0,7.000
16-sep-2020,0,9.300
17-sep-2020,0,0.000
18-sep-2020,0,0.000
19-sep-2020,0,0.000
20-sep-2020,0,0.000
21-sep-2020,0,0.000
22-sep-2020,0,3.800
23-sep-2020,4,0.000
24-sep-2020,0,0.100
25-sep-2020,0,0.000
26-sep-2020,0,0.000
27-sep-2020,0,2.300
28-sep-2020,4,0.000
29-sep-2020,0,7.000
30-sep-2020,0,0.000
01-oct-2020,1,5.900
02-oct-2020,1,0.100
03-oct-2020,1,0.300
04-oct-2020,1,2.800
05-oct-2020,0,4.700
06-oct-2020,0,2.000
07-oct-2020,0,13.000
08-oct-2020,1,3.700
09-oct-2020,1,1.900
10-oct-2020,0,0.000
11-oct-2020,0,5.600
12-oct-2020,0,2.200
13-oct-2020,0,0.000
14-oct-2020,0,0.000
15-oct-2020,0,0.000
16-oct-2020,0,0.000
17-oct-2020,0,0.000
18-oct-2020,0,8.700
19-oct-2020,0,28.700
20-oct-2020,0,4.600
21-oct-2020,0,0.100
22-oct-2020,0,5.200
23-oct-2020,0,6.500
24-oct-2020,0,6.300
25-oct-2020,0,2.100
26-oct-2020,0,3.900
27-oct-2020,0,9.000
28-oct-2020,0,25.600
29-oct-2020,0,12.500
30-oct-2020,0,9.000
31-oct-2020,0,1.500
01-nov-2020,0,12.900
02-nov-2020,0,7.500
03-nov-2020,0,2.400
04-nov-2020,0,0.000
05-nov-2020,0,0.500
06-nov-2020,0,0.000
07-nov-2020,0,5.600
08-nov-2020,4,0.000
09-nov-2020,4,0.000
10-nov-2020,0,5.000
11-nov-2020,0,13.300
12-nov-2020,0,12.900
13-nov-2020,0,5.600
14-nov-2020,0,15.200
15-nov-2020,0,1.000
16-nov-2020,0,12.900
17-nov-2020,1,3.900
18-nov-2020,1,1.100
19-nov-2020,0,5.600
20-nov-2020,0,3.500
21-nov-2020,0,1.400
22-nov-2020,4,0.000
23-nov-2020,0,34.400
24-nov-2020,0,4.000
25-nov-2020,0,0.000
26-nov-2020,0,0.000
27-nov-2020,0,0.500
28-nov-2020,0,0.000
29-nov-2020,0,0.000
30-nov-2020,0,2.100
01-dec-2020,0,0.600
02-dec-2020,0,5.400
03-dec-2020,0,2.500
04-dec-2020,0,3.300
05-dec-2020,0,9.200
06-dec-2020,0,0.000
07-dec-2020,0,0.000
08-dec-2020,0,0.800
09-dec-2020,0,14.800
10-dec-2020,0,7.200
11-dec-2020,0,0.300
12-dec-2020,0,9.200
13-dec-2020,0,16.600
14-dec-2020,0,2.400
15-dec-2020,0,7.500
16-dec-2020,0,2.000
17-dec-2020,0,4.100
18-dec-2020,0,2.000
19-dec-2020,0,7.100
20-dec-2020,0,8.400
21-dec-2020,0,2.200
22-dec-2020,1,4.400
23-dec-2020,1,0.100
24-dec-2020,1,0.200
25-dec-2020,1,1.700
26-dec-2020,1,17.800
27-dec-2020,1,8.700
28-dec-2020,1,6.300
29-dec-2020,1,0.600
30-dec-2020,0,0.500
31-dec-2020,0,0.000
01-jan-2021,0,0.000
02-jan-2021,0,0.000
03-jan-2021,0,0.000
04-jan-2021,0,0.000
05-jan-2021,0,0.000
06-jan-2021,0,3.900
07-jan-2021,0,0.000
08-jan-2021,0,0.000
09-jan-2021,1,1.800
10-jan-2021,1,4.300
11-jan-2021,0,10.400
12-jan-2021,0,10.200
13-jan-2021,0,2.400
14-jan-2021,4,0.000
15-jan-2021,0,6.000
16-jan-2021,0,0.500
17-jan-2021,0,2.500
18-jan-2021,0,19.700
19-jan-2021,0,16.300
20-jan-2021,4,0.000
21-jan-2021,4,0.000
22-jan-2021,0,0.000
23-jan-2021,0,5.600
24-jan-2021,0,0.000
25-jan-2021,0,6.400
26-jan-2021,0,1.300
27-jan-2021,0,14.300
28-jan-2021,0,4.700
29-jan-2021,0,10.100
30-jan-2021,0,7.100
31-jan-2021,0,4.300
01-feb-2021,0,18.700
02-feb-2021,0,8.000
03-feb-2021,0,3.400
04-feb-2021,4,0.000
05-feb-2021,4,0.000
06-feb-2021,0,0.000
07-feb-2021,0,0.000
08-feb-2021,0,0.000
09-feb-2021,0,0.000
10-feb-2021,0,0.000
11-feb-2021,0,3.400
12-feb-2021,0,8.000
13-feb-2021,0,0.000
14-feb-2021,0,6.000
15-feb-2021,0,2.100
16-feb-2021,0,6.800
17-feb-2021,0,16.800
18-feb-2021,0,3.400
19-feb-2021,0,3.600
20-feb-2021,0,1.600
21-feb-2021,4,0.000
22-feb-2021,0,6.400
23-feb-2021,0,2.300
24-feb-2021,0,1.600
25-feb-2021,4,0.000
26-feb-2021,0,1.100
27-feb-2021,0,1.400
28-feb-2021,0,0.000
01-mar-2021,0,0.000
02-mar-2021,0,0.000
03-mar-2021,0,0.000
04-mar-2021,0,0.000
05-mar-2021,0,0.000
06-mar-2021,0,0.000
07-mar-2021,0,0.000
08-mar-2021,0,6.600
09-mar-2021,0,8.000
10-mar-2021,0,14.800
11-mar-2021,0,12.200
12-mar-2021,0,8.000
13-mar-2021,0,2.200
14-mar-2021,0,0.900
15-mar-2021,0,0.400
16-mar-2021,0,0.000
17-mar-2021,0,0.000
18-mar-2021,0,0.000
19-mar-2021,0,0.000
20-mar-2021,0,0.000
21-mar-2021,0,0.000
22-mar-2021,0,0.000
23-mar-2021,0,3.600
24-mar-2021,0,5.600
25-mar-2021,1,8.300
26-mar-2021,1,5.400
27-mar-2021,0,11.700
28-mar-2021,0,6.200
29-mar-2021,0,0.000
30-mar-2021,0,2.300
31-mar-2021,0,4.000
01-apr-2021,0,0.000
02-apr-2021,0,0.000
03-apr-2021,0,0.000
04-apr-2021,0,0.700
05-apr-2021,0,0.000
06-apr-2021,0,0.900
07-apr-2021,0,1.100
08-apr-2021,0,1.700
09-apr-2021,0,2.600
10-apr-2021,0,0.000
11-apr-2021,0,0.000
12-apr-2021,0,5.000
13-apr-2021,0,0.000
14-apr-2021,0,0.000
15-apr-2021,0,0.000
16-apr-2021,4,0.000
17-apr-2021,0,4.800
18-apr-2021,0,3.800
19-apr-2021,0,3.400
20-apr-2021,0,0.000
21-apr-2021,0,0.000
22-apr-2021,0,0.000
23-apr-2021,0,0.000
24-apr-2021,0,0.000
25-apr-2021,0,0.000
26-apr-2021,0,0.300
27-apr-2021,0,3.400
28-apr-2021,0,0.000
29-apr-2021,0,2.100
30-apr-2021,0,0.000
01-may-2021,0,0.000
02-may-2021,0,8.000
03-may-2021,0,5.600
04-may-2021,0,1.500
05-may-2021,0,0.800
06-may-2021,0,0.000
07-may-2021,0,17.300
08-may-2021,0,1.000
09-may-2021,0,4.800
10-may-2021,0,1.300
11-may-2021,0,0.000
12-may-2021,0,0.000
13-may-2021,1,1.600
