Station Name: ROUNDSTONE_Toombeola
Station Height: 15 M 
Latitude:53.435  ,Longitude: -9.873


date:  -  09 to 09 utc
rain:  -  Precipitation Amount (mm)
ind:   -  Indicator

date,ind,rain
01-dec-2019,4,0.000
02-dec-2019,4,0.000
03-dec-2019,0,2.400
04-dec-2019,0,3.300
05-dec-2019,0,8.400
06-dec-2019,0,5.200
07-dec-2019,0,8.700
08-dec-2019,0,7.200
09-dec-2019,0,10.300
10-dec-2019,0,11.700
11-dec-2019,0,8.900
12-dec-2019,0,9.000
13-dec-2019,0,3.700
14-dec-2019,0,9.400
15-dec-2019,0,5.200
16-dec-2019,0,2.300
17-dec-2019,0,9.000
18-dec-2019,0,6.400
19-dec-2019,4,0.000
20-dec-2019,0,0.700
21-dec-2019,0,4.100
22-dec-2019,0,4.400
23-dec-2019,0,2.300
24-dec-2019,1,0.400
25-dec-2019,1,3.100
26-dec-2019,0,2.500
27-dec-2019,0,4.400
28-dec-2019,0,2.800
29-dec-2019,0,3.600
30-dec-2019,0,2.400
31-dec-2019,4,0.000
