Station Name: CLONKEEN (Upper Coomacullin)
Station Height: 215 M 
Latitude:51.971  ,Longitude: -9.304


date:  -  09 to 09 utc
rain:  -  Precipitation Amount (mm)
ind:   -  Indicator

date,ind,rain
01-may-2018,0,5.800
02-may-2018,0,0.900
03-may-2018,0,0.100
04-may-2018,4,0.000
05-may-2018,4,0.000
06-may-2018,0,0.000
07-may-2018,0,3.100
08-may-2018,0,2.200
09-may-2018,0,5.900
10-may-2018,0,20.900
11-may-2018,0,0.500
12-may-2018,0,0.000
13-may-2018,0,1.100
14-may-2018,0,0.100
15-may-2018,0,1.500
16-may-2018,0,0.000
17-may-2018,0,0.000
18-may-2018,0,0.000
19-may-2018,0,0.200
20-may-2018,0,18.400
21-may-2018,0,4.500
22-may-2018,0,0.100
23-may-2018,0,0.000
24-may-2018,0,0.000
25-may-2018,0,0.000
26-may-2018,0,21.600
27-may-2018,0,0.600
28-may-2018,4,0.000
29-may-2018,0,2.600
30-may-2018,0,0.100
31-may-2018,4,0.000
01-jun-2018,0,0.000
02-jun-2018,0,0.000
03-jun-2018,0,0.000
04-jun-2018,0,0.000
05-jun-2018,0,0.600
06-jun-2018,4,0.000
07-jun-2018,4,0.000
08-jun-2018,4,0.000
09-jun-2018,4,0.000
10-jun-2018,0,0.000
11-jun-2018,0,0.000
12-jun-2018,0,0.000
13-jun-2018,0,7.500
14-jun-2018,4,0.000
15-jun-2018,0,6.100
16-jun-2018,1,2.100
17-jun-2018,1,1.000
18-jun-2018,0,0.500
19-jun-2018,0,3.900
20-jun-2018,4,0.000
21-jun-2018,0,0.000
22-jun-2018,0,0.000
23-jun-2018,0,0.000
24-jun-2018,0,0.000
25-jun-2018,0,0.000
26-jun-2018,0,0.000
27-jun-2018,0,0.000
28-jun-2018,0,0.000
29-jun-2018,0,0.000
30-jun-2018,0,0.000
01-jul-2018,0,0.000
02-jul-2018,0,0.000
03-jul-2018,0,0.000
04-jul-2018,0,0.000
05-jul-2018,0,0.000
06-jul-2018,0,0.000
07-jul-2018,0,0.000
08-jul-2018,0,0.000
09-jul-2018,0,0.000
10-jul-2018,0,0.000
11-jul-2018,0,0.000
12-jul-2018,0,0.000
13-jul-2018,0,0.000
14-jul-2018,0,3.200
15-jul-2018,0,0.600
16-jul-2018,0,0.000
17-jul-2018,0,0.000
18-jul-2018,0,0.000
19-jul-2018,0,0.000
20-jul-2018,0,0.000
21-jul-2018,4,0.000
22-jul-2018,0,0.500
23-jul-2018,0,0.600
24-jul-2018,4,0.000
25-jul-2018,0,0.200
26-jul-2018,0,21.800
27-jul-2018,0,13.300
28-jul-2018,0,8.400
29-jul-2018,0,1.800
30-jul-2018,0,0.600
31-jul-2018,0,1.800
01-aug-2018,0,2.600
02-aug-2018,0,0.300
03-aug-2018,0,0.000
04-aug-2018,0,0.000
05-aug-2018,0,0.000
06-aug-2018,0,0.000
07-aug-2018,0,1.900
08-aug-2018,0,0.500
09-aug-2018,0,2.300
10-aug-2018,0,0.500
11-aug-2018,0,2.600
12-aug-2018,0,6.100
13-aug-2018,4,0.000
14-aug-2018,0,2.100
15-aug-2018,0,2.000
16-aug-2018,0,0.000
17-aug-2018,0,0.000
18-aug-2018,1,1.900
19-aug-2018,1,0.400
20-aug-2018,0,0.400
21-aug-2018,0,2.900
22-aug-2018,4,0.000
23-aug-2018,0,1.900
24-aug-2018,0,3.500
25-aug-2018,1,17.200
26-aug-2018,1,0.600
27-aug-2018,4,0.000
28-aug-2018,0,5.000
29-aug-2018,4,0.000
30-aug-2018,0,0.900
31-aug-2018,1,1.500
01-sep-2018,4,0.000
02-sep-2018,0,4.900
03-sep-2018,0,0.000
04-sep-2018,0,0.000
05-sep-2018,0,0.500
06-sep-2018,0,16.600
07-sep-2018,0,12.400
08-sep-2018,0,4.300
09-sep-2018,0,0.000
10-sep-2018,0,4.100
11-sep-2018,0,4.400
12-sep-2018,0,0.000
13-sep-2018,1,1.800
14-sep-2018,1,0.800
15-sep-2018,0,6.900
16-sep-2018,0,2.900
17-sep-2018,0,17.400
18-sep-2018,0,2.900
19-sep-2018,0,2.400
20-sep-2018,0,17.900
21-sep-2018,0,4.500
22-sep-2018,0,4.200
23-sep-2018,4,0.000
24-sep-2018,0,0.000
25-sep-2018,0,0.100
26-sep-2018,0,0.000
27-sep-2018,4,0.000
28-sep-2018,0,0.200
29-sep-2018,0,0.000
30-sep-2018,0,1.000
01-oct-2018,0,5.800
02-oct-2018,0,0.100
03-oct-2018,4,0.000
04-oct-2018,0,10.400
05-oct-2018,4,0.000
06-oct-2018,1,0.000
07-oct-2018,1,0.200
08-oct-2018,0,0.600
09-oct-2018,4,0.000
10-oct-2018,0,10.300
11-oct-2018,0,40.900
12-oct-2018,0,11.800
13-oct-2018,1,13.600
14-oct-2018,1,0.100
15-oct-2018,0,0.300
16-oct-2018,4,0.000
17-oct-2018,0,0.000
18-oct-2018,4,0.000
19-oct-2018,0,0.300
20-oct-2018,1,1.800
21-oct-2018,1,0.200
22-oct-2018,4,0.000
23-oct-2018,4,0.000
24-oct-2018,0,0.000
25-oct-2018,0,1.000
26-oct-2018,0,2.100
27-oct-2018,0,0.000
28-oct-2018,4,0.000
29-oct-2018,0,6.400
30-oct-2018,0,4.500
31-oct-2018,0,3.300
01-nov-2018,0,1.100
02-nov-2018,0,6.200
03-nov-2018,1,4.600
04-nov-2018,1,7.300
05-nov-2018,1,16.400
06-nov-2018,0,9.200
07-nov-2018,0,10.000
08-nov-2018,0,12.400
09-nov-2018,0,30.900
10-nov-2018,0,6.100
11-nov-2018,0,21.700
12-nov-2018,0,8.300
13-nov-2018,0,17.700
14-nov-2018,0,21.000
15-nov-2018,0,1.900
16-nov-2018,0,1.800
17-nov-2018,0,0.000
18-nov-2018,0,1.400
19-nov-2018,4,0.000
20-nov-2018,0,1.200
21-nov-2018,0,5.400
22-nov-2018,0,7.500
23-nov-2018,0,6.800
24-nov-2018,0,0.000
25-nov-2018,0,0.600
26-nov-2018,0,47.400
27-nov-2018,0,21.500
28-nov-2018,0,13.600
29-nov-2018,0,7.100
30-nov-2018,0,6.100
