Station Name: TARBERT (Kilpadogue)
Station Height: 18 M 
Latitude:52.571  ,Longitude: -9.385


date:  -  09 to 09 utc
rain:  -  Precipitation Amount (mm)
ind:   -  Indicator

date,ind,rain
01-may-2021,0,0.000
02-may-2021,0,10.000
03-may-2021,0,5.000
04-may-2021,0,0.600
05-may-2021,0,0.000
06-may-2021,0,0.000
07-may-2021,0,16.000
08-may-2021,0,1.100
09-may-2021,0,1.700
10-may-2021,4,0.000
11-may-2021,0,1.500
12-may-2021,0,2.500
13-may-2021,0,0.000
14-may-2021,0,4.900
15-may-2021,0,8.100
16-may-2021,0,3.500
17-may-2021,0,1.400
18-may-2021,0,2.100
19-may-2021,0,4.400
20-may-2021,0,11.300
21-may-2021,0,1.700
22-may-2021,0,5.000
23-may-2021,0,5.600
24-may-2021,0,7.000
25-may-2021,0,1.600
26-may-2021,0,1.100
27-may-2021,0,7.800
28-may-2021,0,0.100
29-may-2021,0,0.000
30-may-2021,0,0.000
31-may-2021,0,4.300
01-jun-2021,0,1.600
02-jun-2021,0,4.100
03-jun-2021,0,1.100
04-jun-2021,0,1.800
05-jun-2021,0,0.100
06-jun-2021,0,0.000
07-jun-2021,0,0.200
08-jun-2021,0,0.700
09-jun-2021,0,0.200
10-jun-2021,0,1.200
11-jun-2021,4,0.000
12-jun-2021,0,0.000
13-jun-2021,0,0.300
14-jun-2021,0,0.000
15-jun-2021,0,5.400
16-jun-2021,0,0.300
17-jun-2021,0,0.200
18-jun-2021,0,0.000
19-jun-2021,0,0.000
20-jun-2021,0,0.200
21-jun-2021,0,0.000
22-jun-2021,0,4.100
23-jun-2021,0,0.000
24-jun-2021,0,7.800
25-jun-2021,0,0.000
26-jun-2021,0,0.000
27-jun-2021,0,0.000
28-jun-2021,0,0.000
29-jun-2021,0,0.000
30-jun-2021,0,0.000
01-jul-2021,0,0.000
02-jul-2021,0,5.500
03-jul-2021,0,16.200
04-jul-2021,0,7.000
05-jul-2021,0,11.500
06-jul-2021,0,5.900
07-jul-2021,0,0.600
08-jul-2021,0,0.200
09-jul-2021,0,2.900
10-jul-2021,0,7.600
11-jul-2021,0,4.900
12-jul-2021,4,0.000
13-jul-2021,0,1.000
14-jul-2021,0,1.100
15-jul-2021,0,0.000
16-jul-2021,0,0.000
17-jul-2021,0,0.000
18-jul-2021,0,0.000
19-jul-2021,0,0.200
20-jul-2021,0,0.000
21-jul-2021,4,0.000
22-jul-2021,0,0.000
23-jul-2021,0,0.700
24-jul-2021,0,0.000
25-jul-2021,0,0.000
26-jul-2021,0,5.300
27-jul-2021,0,7.100
28-jul-2021,0,0.700
29-jul-2021,0,2.400
30-jul-2021,0,4.800
31-jul-2021,0,0.500
01-aug-2021,0,0.600
02-aug-2021,0,4.200
03-aug-2021,0,0.200
04-aug-2021,0,6.000
05-aug-2021,0,18.200
06-aug-2021,0,21.800
07-aug-2021,0,2.100
08-aug-2021,0,0.700
09-aug-2021,0,1.200
10-aug-2021,0,4.900
11-aug-2021,0,0.100
12-aug-2021,0,3.900
13-aug-2021,0,2.200
14-aug-2021,0,5.300
15-aug-2021,4,0.000
16-aug-2021,0,0.400
17-aug-2021,0,0.100
18-aug-2021,0,1.900
19-aug-2021,0,6.700
20-aug-2021,0,4.200
21-aug-2021,0,0.500
22-aug-2021,0,0.300
