Station Name: GALBALLY-Coolafullaun
Station Height: 76 M 
Latitude:52.393  ,Longitude: -6.637


date:  -  09 to 09 utc
rain:  -  Precipitation Amount (mm)
ind:   -  Indicator

date,ind,rain
01-jul-2019,0,0.000
02-jul-2019,0,0.000
03-jul-2019,0,0.000
04-jul-2019,0,0.000
05-jul-2019,0,0.000
06-jul-2019,0,0.100
07-jul-2019,0,0.500
08-jul-2019,0,0.000
09-jul-2019,0,0.000
10-jul-2019,0,1.800
11-jul-2019,0,3.200
12-jul-2019,0,0.000
13-jul-2019,0,0.000
14-jul-2019,0,0.000
15-jul-2019,0,0.000
16-jul-2019,0,0.000
17-jul-2019,0,3.500
18-jul-2019,0,9.900
19-jul-2019,0,0.200
20-jul-2019,0,0.200
21-jul-2019,0,0.800
22-jul-2019,0,0.200
23-jul-2019,0,0.700
24-jul-2019,0,0.100
25-jul-2019,0,0.100
26-jul-2019,0,0.800
27-jul-2019,0,0.000
28-jul-2019,0,0.000
29-jul-2019,0,1.200
30-jul-2019,0,11.700
31-jul-2019,0,0.100
01-aug-2019,0,0.000
02-aug-2019,0,0.000
03-aug-2019,0,8.300
04-aug-2019,0,2.500
05-aug-2019,0,0.100
06-aug-2019,0,2.200
07-aug-2019,0,0.800
08-aug-2019,0,20.600
09-aug-2019,0,12.800
10-aug-2019,0,3.200
11-aug-2019,0,1.600
12-aug-2019,0,3.100
13-aug-2019,1,12.100
14-aug-2019,1,0.500
15-aug-2019,1,10.100
16-aug-2019,1,5.600
17-aug-2019,0,0.000
18-aug-2019,0,0.000
19-aug-2019,0,1.500
20-aug-2019,0,0.200
21-aug-2019,0,1.300
22-aug-2019,0,0.100
23-aug-2019,0,0.000
24-aug-2019,0,0.100
25-aug-2019,0,0.100
26-aug-2019,0,0.100
27-aug-2019,0,3.400
28-aug-2019,0,0.600
29-aug-2019,0,0.200
30-aug-2019,0,2.700
31-aug-2019,0,0.000
01-sep-2019,0,0.000
02-sep-2019,0,0.000
03-sep-2019,0,1.600
04-sep-2019,0,0.300
05-sep-2019,0,0.000
06-sep-2019,0,0.500
07-sep-2019,0,0.100
08-sep-2019,0,1.100
09-sep-2019,0,7.100
10-sep-2019,0,0.100
11-sep-2019,0,0.200
12-sep-2019,0,0.500
13-sep-2019,0,0.000
14-sep-2019,0,0.200
15-sep-2019,0,0.100
16-sep-2019,0,0.500
17-sep-2019,0,0.000
18-sep-2019,0,0.000
19-sep-2019,0,0.200
20-sep-2019,0,0.200
21-sep-2019,0,2.900
22-sep-2019,0,17.400
23-sep-2019,0,9.400
24-sep-2019,0,4.800
25-sep-2019,0,2.100
26-sep-2019,0,10.100
27-sep-2019,0,0.800
28-sep-2019,0,14.900
29-sep-2019,0,1.700
30-sep-2019,0,20.300
01-oct-2019,1,0.100
02-oct-2019,1,0.000
03-oct-2019,1,8.700
04-oct-2019,1,0.800
05-oct-2019,0,22.200
06-oct-2019,0,15.400
07-oct-2019,0,1.900
08-oct-2019,0,0.000
09-oct-2019,0,0.100
10-oct-2019,1,7.800
11-oct-2019,1,0.100
12-oct-2019,0,19.400
13-oct-2019,0,0.400
14-oct-2019,0,1.500
15-oct-2019,0,3.700
16-oct-2019,1,4.400
17-oct-2019,1,7.700
18-oct-2019,0,2.900
19-oct-2019,0,0.200
20-oct-2019,0,0.300
21-oct-2019,0,0.000
22-oct-2019,0,0.200
23-oct-2019,0,3.600
24-oct-2019,0,14.800
25-oct-2019,0,18.500
26-oct-2019,0,1.800
27-oct-2019,0,0.000
28-oct-2019,0,0.100
29-oct-2019,0,0.000
30-oct-2019,0,5.100
31-oct-2019,0,17.600
01-nov-2019,0,12.500
02-nov-2019,0,8.400
03-nov-2019,0,4.900
04-nov-2019,0,7.900
05-nov-2019,0,3.600
06-nov-2019,0,7.600
07-nov-2019,0,5.400
08-nov-2019,1,7.000
09-nov-2019,1,1.600
10-nov-2019,0,11.900
11-nov-2019,0,0.100
12-nov-2019,0,0.000
13-nov-2019,0,11.100
14-nov-2019,0,5.400
15-nov-2019,0,0.000
16-nov-2019,0,0.000
17-nov-2019,0,0.000
18-nov-2019,0,4.500
19-nov-2019,0,5.300
20-nov-2019,0,16.700
21-nov-2019,0,12.400
22-nov-2019,0,10.600
23-nov-2019,0,3.100
24-nov-2019,0,4.300
25-nov-2019,0,10.800
26-nov-2019,1,4.900
27-nov-2019,1,0.300
28-nov-2019,0,0.100
29-nov-2019,0,0.100
30-nov-2019,0,0.100
01-dec-2019,0,0.100
02-dec-2019,0,0.000
03-dec-2019,0,0.000
04-dec-2019,0,0.600
05-dec-2019,0,1.600
06-dec-2019,0,2.400
07-dec-2019,0,7.500
08-dec-2019,0,0.700
09-dec-2019,0,0.400
10-dec-2019,0,9.900
11-dec-2019,1,7.600
12-dec-2019,1,3.600
13-dec-2019,0,0.300
14-dec-2019,0,3.100
15-dec-2019,0,2.800
16-dec-2019,0,0.500
17-dec-2019,0,0.000
18-dec-2019,0,23.800
19-dec-2019,0,10.400
20-dec-2019,0,1.500
21-dec-2019,0,3.300
22-dec-2019,0,0.200
23-dec-2019,0,3.400
24-dec-2019,1,0.000
25-dec-2019,1,3.000
26-dec-2019,1,5.300
27-dec-2019,0,2.600
28-dec-2019,0,0.500
29-dec-2019,0,0.200
30-dec-2019,0,0.300
31-dec-2019,0,0.600
01-jan-2020,0,0.000
02-jan-2020,0,4.700
03-jan-2020,0,0.000
04-jan-2020,0,0.100
05-jan-2020,0,1.300
06-jan-2020,0,4.500
07-jan-2020,0,1.600
08-jan-2020,0,12.100
09-jan-2020,1,0.400
10-jan-2020,1,9.400
11-jan-2020,0,7.800
12-jan-2020,1,0.300
13-jan-2020,1,12.800
14-jan-2020,0,14.600
15-jan-2020,0,1.500
16-jan-2020,0,12.400
17-jan-2020,0,0.600
18-jan-2020,0,0.200
19-jan-2020,0,0.100
20-jan-2020,0,0.200
21-jan-2020,0,0.400
22-jan-2020,0,0.000
23-jan-2020,0,0.300
24-jan-2020,0,0.200
25-jan-2020,0,1.100
26-jan-2020,0,7.600
27-jan-2020,0,3.400
28-jan-2020,0,0.100
29-jan-2020,0,0.000
30-jan-2020,0,0.700
31-jan-2020,0,4.300
01-feb-2020,0,2.300
02-feb-2020,0,4.400
03-feb-2020,0,0.100
04-feb-2020,0,0.100
05-feb-2020,0,0.000
06-feb-2020,0,0.000
07-feb-2020,0,4.300
08-feb-2020,0,10.900
09-feb-2020,0,12.200
10-feb-2020,0,3.400
11-feb-2020,0,3.200
12-feb-2020,0,11.900
13-feb-2020,0,4.500
14-feb-2020,0,3.800
15-feb-2020,0,14.800
16-feb-2020,0,5.800
17-feb-2020,0,0.400
18-feb-2020,0,3.600
19-feb-2020,0,6.700
20-feb-2020,0,3.600
21-feb-2020,0,6.100
22-feb-2020,0,6.400
23-feb-2020,0,13.200
24-feb-2020,0,3.200
25-feb-2020,0,1.600
26-feb-2020,0,1.800
27-feb-2020,1,13.300
28-feb-2020,1,8.600
29-feb-2020,0,0.500
01-mar-2020,0,0.200
02-mar-2020,0,0.000
03-mar-2020,0,0.000
04-mar-2020,0,4.700
05-mar-2020,0,3.400
06-mar-2020,0,0.100
07-mar-2020,0,2.800
08-mar-2020,0,1.400
09-mar-2020,0,6.200
10-mar-2020,0,1.400
11-mar-2020,0,3.600
12-mar-2020,0,2.000
13-mar-2020,0,8.400
14-mar-2020,0,2.000
15-mar-2020,0,1.500
16-mar-2020,0,1.400
17-mar-2020,0,2.300
18-mar-2020,0,5.600
19-mar-2020,0,0.100
20-mar-2020,0,0.000
21-mar-2020,0,0.000
22-mar-2020,0,0.000
23-mar-2020,0,0.000
24-mar-2020,0,0.000
25-mar-2020,0,0.000
26-mar-2020,0,0.000
27-mar-2020,0,0.100
28-mar-2020,0,0.300
29-mar-2020,0,0.100
30-mar-2020,0,0.000
31-mar-2020,0,0.000
01-apr-2020,0,0.000
02-apr-2020,0,0.000
03-apr-2020,0,0.000
04-apr-2020,0,0.000
05-apr-2020,0,5.100
06-apr-2020,0,0.300
07-apr-2020,0,0.100
08-apr-2020,0,0.100
09-apr-2020,0,0.100
10-apr-2020,0,0.000
11-apr-2020,0,0.000
12-apr-2020,0,1.300
13-apr-2020,0,0.100
14-apr-2020,0,0.000
15-apr-2020,0,0.000
16-apr-2020,0,0.000
17-apr-2020,1,22.200
18-apr-2020,1,0.900
19-apr-2020,0,0.100
20-apr-2020,4,0.000
21-apr-2020,0,0.000
22-apr-2020,0,0.000
23-apr-2020,0,0.000
24-apr-2020,0,0.000
25-apr-2020,0,0.000
26-apr-2020,0,0.000
27-apr-2020,0,0.000
28-apr-2020,0,0.000
29-apr-2020,0,15.600
30-apr-2020,0,3.800
01-may-2020,0,2.400
02-may-2020,0,0.100
03-may-2020,0,0.100
04-may-2020,0,0.000
05-may-2020,0,0.100
06-may-2020,0,0.300
07-may-2020,0,0.400
08-may-2020,0,0.000
09-may-2020,0,0.000
10-may-2020,0,0.000
11-may-2020,0,0.000
12-may-2020,0,0.000
13-may-2020,0,0.000
14-may-2020,0,0.000
15-may-2020,0,0.000
16-may-2020,0,0.000
