year,AreaOfResidence,Latitude,Longitude,parameter,value
2001,AHERLAMORE,51.849,-8.726,Greatest Daily Fall,39.2
2001,AHERLAMORE,51.849,-8.726,Number of Rain Days,84
2001,AHERLAMORE,51.849,-8.726,Number of Wet Days,67
2001,AHERLAMORE,51.849,-8.726,Precipitation Amount,1061.6
2001,ARDEE (St.Brigid's Hosp.),53.856,-6.549,Greatest Daily Fall,21.7
2001,ARDEE (St.Brigid's Hosp.),53.856,-6.549,Number of Rain Days,170
2001,ARDEE (St.Brigid's Hosp.),53.856,-6.549,Number of Wet Days,111
2001,ARDEE (St.Brigid's Hosp.),53.856,-6.549,Precipitation Amount,562.9
2001,ARDFERT (Liscahane),52.311,-9.774,Greatest Daily Fall,21.7
2001,ARDFERT (Liscahane),52.311,-9.774,Number of Rain Days,233
2001,ARDFERT (Liscahane),52.311,-9.774,Number of Wet Days,178
2001,ARDFERT (Liscahane),52.311,-9.774,Precipitation Amount,922.2
2001,ARDFERT (Liscahane),52.311,-9.774,Maximum Temperature,14.159
2001,ARDFERT (Liscahane),52.311,-9.774,Minimum Temperature,6.582
2001,ARDFINNAN (Garryduff),52.292,-7.886,Greatest Daily Fall,38.6
2001,ARDFINNAN (Garryduff),52.292,-7.886,Number of Rain Days,178
2001,ARDFINNAN (Garryduff),52.292,-7.886,Number of Wet Days,140
2001,ARDFINNAN (Garryduff),52.292,-7.886,Precipitation Amount,1003.2
2001,ARDNACRUSHA (Gen.Stn.No.2),52.706,-8.614,Greatest Daily Fall,7.3
2001,ARDNACRUSHA (Gen.Stn.No.2),52.706,-8.614,Number of Rain Days,14
2001,ARDNACRUSHA (Gen.Stn.No.2),52.706,-8.614,Number of Wet Days,13
2001,ARDNACRUSHA (Gen.Stn.No.2),52.706,-8.614,Precipitation Amount,57.3
2001,ARDNAWARK BARNESMORE,54.707,-7.978,Greatest Daily Fall,36.5
2001,ARDNAWARK BARNESMORE,54.707,-7.978,Number of Rain Days,260
2001,ARDNAWARK BARNESMORE,54.707,-7.978,Number of Wet Days,204
2001,ARDNAWARK BARNESMORE,54.707,-7.978,Precipitation Amount,1537.8
2001,ARDRAHAN (Grannagh),53.148,-8.745,Greatest Daily Fall,13.5
2001,ARDRAHAN (Grannagh),53.148,-8.745,Number of Rain Days,24
2001,ARDRAHAN (Grannagh),53.148,-8.745,Number of Wet Days,24
2001,ARDRAHAN (Grannagh),53.148,-8.745,Precipitation Amount,724.5
2001,ARDTARMON,54.338,-8.622,Greatest Daily Fall,23.3
2001,ARDTARMON,54.338,-8.622,Number of Rain Days,224
2001,ARDTARMON,54.338,-8.622,Number of Wet Days,167
2001,ARDTARMON,54.338,-8.622,Precipitation Amount,871.4
2001,ARDTARMON,54.338,-8.622,Maximum Temperature,13.193
2001,ARDTARMON,54.338,-8.622,Minimum Temperature,7.147
